ID,Date,Element,Data_Value
CI000085585,2011-01-16,TMIN,161
CI000085585,2006-09-08,TMIN,108
CI000085585,2014-08-08,TMAX,140
CI000085585,2005-01-16,TMIN,176
CI000085585,2014-12-03,TMIN,114
CI000085585,2008-03-27,TMAX,200
CI000085585,2011-05-21,TMAX,153
CI000085585,2014-09-15,TMAX,143
CI000085585,2013-06-03,TMIN,139
CI000085585,2009-03-01,TMAX,242
CI000085585,2015-03-06,TMIN,142
CI000085585,2014-02-19,TMIN,170
CI000085585,2006-12-08,TMIN,152
CI000085585,2006-01-03,TMIN,124
CI000085585,2014-08-04,TMAX,163
CI000085585,2012-06-27,TMIN,114
CI000085585,2005-12-03,TMIN,118
CI000085585,2006-01-17,TMAX,202
CI000085585,2014-07-19,TMIN,86
CI000085585,2013-03-03,TMIN,172
CI000085585,2006-12-17,TMIN,130
CI000085585,2006-12-08,TMAX,200
CI000085585,2010-12-22,TMIN,122
CI000085585,2010-04-18,TMAX,194
CI000085585,2013-03-03,TMAX,213
CI000085585,2011-06-01,TMIN,103
CI000085585,2014-09-15,TMIN,104
CI000085585,2007-09-28,TMAX,155
CI000085585,2006-10-03,TMAX,161
CI000085585,2011-04-26,TMAX,190
CI000085585,2009-01-08,TMAX,205
CI000085585,2015-11-02,TMAX,155
CI000085585,2008-03-27,TMIN,152
CI000085585,2005-11-01,TMIN,122
CI000085585,2010-06-17,TMAX,145
CI000085585,2006-09-04,TMIN,82
CI000085585,2010-01-31,TMIN,160
CI000085585,2013-06-03,TMAX,180
CI000085585,2014-12-03,TMAX,184
CI000085585,2015-02-24,TMIN,159
CI000085585,2013-01-26,TMIN,149
CI000085585,2012-08-29,TMIN,120
CI000085585,2005-01-16,TMAX,214
CI000085585,2006-05-10,TMIN,132
CI000085585,2012-08-02,TMAX,135
CI000085585,2010-12-09,TMIN,119
CI000085585,2014-07-31,TMIN,157
CI000085585,2012-08-29,TMAX,154
CI000085585,2008-12-15,TMIN,164
CI000085585,2013-02-06,TMIN,135
CI000085585,2005-06-18,TMIN,138
CI000085585,2008-07-11,TMAX,177
CI000085585,2005-06-23,TMIN,156
CI000085585,2014-07-19,TMAX,158
CI000085585,2010-05-28,TMAX,136
CI000085585,2010-12-09,TMAX,187
CI000085585,2012-07-03,TMAX,132
CI000085585,2013-07-06,TMIN,88
CI000085585,2013-07-06,TMAX,148
CI000085585,2007-08-01,TMIN,106
CI000085585,2008-12-25,TMIN,162
CI000085585,2014-02-28,TMIN,182
CI000085585,2006-01-17,TMIN,164
CI000085585,2009-03-09,TMAX,231
CI000085585,2011-02-05,TMAX,211
CI000085585,2014-02-19,TMAX,236
CI000085585,2010-11-21,TMAX,207
CI000085585,2007-08-01,TMAX,137
CI000085585,2005-03-12,TMIN,152
CI000085585,2012-11-22,TMIN,122
CI000085585,2013-02-10,TMAX,233
CI000085585,2011-08-10,TMIN,128
CI000085585,2007-07-20,TMIN,101
CI000085585,2012-07-23,TMAX,152
CI000085585,2012-08-12,TMIN,96
CI000085585,2014-01-16,TMAX,213
CI000085585,2012-05-12,TMIN,130
CI000085585,2008-02-15,TMIN,164
CI000085585,2006-10-03,TMIN,128
CI000085585,2015-03-11,TMIN,195
CI000085585,2012-08-02,TMIN,84
CI000085585,2014-11-03,TMIN,108
CI000085585,2005-11-04,TMAX,154
CI000085585,2009-04-10,TMIN,189
CI000085585,2012-05-12,TMAX,180
CI000085585,2010-10-27,TMIN,101
CI000085585,2007-03-12,TMAX,236
CI000085585,2011-12-09,TMIN,154
CI000085585,2010-08-09,TMAX,140
CI000085585,2010-08-09,TMIN,76
CI000085585,2008-07-05,TMAX,178
CI000085585,2006-09-09,TMIN,150
CI000085585,2007-02-09,TMAX,212
CI000085585,2008-04-27,TMIN,157
CI000085585,2011-01-27,TMIN,171
CI000085585,2010-07-04,TMAX,172
CI000085585,2010-11-07,TMAX,190
CI000085585,2006-11-27,TMAX,165
CI000085585,2007-11-08,TMIN,121
CI000085585,2013-12-25,TMIN,136
CI000085585,2005-09-20,TMIN,86
CI000085585,2007-04-23,TMIN,119
CI000085585,2007-04-23,TMAX,184
CI000085585,2008-07-06,TMIN,114
CI000085585,2013-02-13,TMAX,246
CI000085585,2013-02-13,TMIN,162
CI000085585,2005-07-09,TMIN,102
CI000085585,2006-04-08,TMAX,204
CI000085585,2014-04-20,TMAX,194
CI000085585,2007-01-13,TMIN,166
CI000085585,2007-01-13,TMAX,204
CI000085585,2006-08-29,TMAX,168
CI000085585,2009-12-14,TMIN,132
CI000085585,2013-08-22,TMIN,94
CI000085585,2005-07-07,TMIN,128
CI000085585,2014-05-19,TMAX,180
CI000085585,2007-02-09,TMIN,168
CI000085585,2008-03-19,TMIN,181
CI000085585,2012-05-08,TMAX,184
CI000085585,2014-12-27,TMIN,154
CI000085585,2010-06-07,TMIN,137
CI000085585,2006-08-04,TMAX,164
CI000085585,2007-11-08,TMAX,178
CI000085585,2009-12-14,TMAX,195
CI000085585,2007-03-23,TMIN,164
CI000085585,2008-03-19,TMAX,232
CI000085585,2011-03-09,TMAX,240
CI000085585,2010-03-22,TMIN,149
CI000085585,2012-03-03,TMIN,191
CI000085585,2012-09-14,TMIN,105
CI000085585,2010-11-23,TMAX,150
CI000085585,2011-06-26,TMAX,133
CI000085585,2013-12-06,TMAX,180
CI000085585,2015-03-23,TMAX,227
CI000085585,2005-11-11,TMAX,170
CI000085585,2007-01-21,TMIN,175
CI000085585,2010-11-26,TMAX,182
CI000085585,2009-01-25,TMAX,213
CI000085585,2010-09-06,TMIN,86
CI000085585,2011-01-27,TMAX,220
CI000085585,2009-03-01,TMIN,166
CI000085585,2015-12-06,TMIN,125
CI000085585,2006-08-29,TMIN,74
CI000085585,2008-04-27,TMAX,184
CI000085585,2015-11-02,TMIN,117
CI000085585,2011-03-09,TMIN,158
CI000085585,2009-06-10,TMIN,139
CI000085585,2010-11-07,TMIN,110
CI000085585,2006-10-24,TMIN,122
CI000085585,2015-07-21,TMIN,113
CI000085585,2009-02-07,TMAX,215
