ID,Date,Element,Data_Value
JA000047991,2006-03-26,TMAX,261
JA000047991,2014-04-23,TMIN,235
JA000047991,2015-08-07,TMAX,306
JA000047991,2015-01-14,TMAX,214
JA000047991,2014-04-23,TMAX,283
JA000047991,2011-01-21,TMAX,238
JA000047991,2012-08-17,TMIN,236
JA000047991,2011-01-21,TMIN,205
JA000047991,2009-04-06,TMAX,269
JA000047991,2012-06-27,TMIN,252
JA000047991,2007-09-12,TMAX,299
JA000047991,2009-11-24,TMAX,280
JA000047991,2012-08-11,TMAX,304
JA000047991,2015-06-13,TMIN,263
JA000047991,2008-06-04,TMAX,314
JA000047991,2007-08-11,TMIN,243
JA000047991,2012-06-18,TMAX,307
JA000047991,2006-02-05,TMAX,238
JA000047991,2008-11-04,TMAX,294
JA000047991,2012-08-11,TMIN,251
JA000047991,2010-06-07,TMIN,254
JA000047991,2010-06-07,TMAX,307
JA000047991,2012-11-10,TMAX,286
JA000047991,2011-03-06,TMAX,216
JA000047991,2015-10-30,TMAX,301
JA000047991,2005-09-03,TMAX,333
JA000047991,2010-02-09,TMIN,179
JA000047991,2013-07-07,TMAX,302
JA000047991,2014-12-07,TMAX,263
JA000047991,2010-01-20,TMAX,219
JA000047991,2010-01-24,TMAX,254
JA000047991,2014-08-01,TMAX,319
JA000047991,2015-10-30,TMIN,261
JA000047991,2011-01-01,TMAX,264
JA000047991,2015-02-24,TMIN,174
JA000047991,2014-04-21,TMIN,221
JA000047991,2010-07-07,TMIN,268
JA000047991,2013-10-08,TMIN,259
JA000047991,2009-08-04,TMIN,270
JA000047991,2008-07-21,TMAX,308
JA000047991,2005-11-13,TMAX,293
JA000047991,2015-02-12,TMIN,199
JA000047991,2013-12-18,TMIN,203
JA000047991,2015-10-02,TMIN,260
JA000047991,2013-10-08,TMAX,291
JA000047991,2008-09-26,TMIN,271
JA000047991,2007-02-22,TMAX,259
JA000047991,2014-11-13,TMAX,304
JA000047991,2012-10-25,TMAX,291
JA000047991,2015-10-02,TMAX,296
JA000047991,2012-06-18,TMIN,254
JA000047991,2012-07-31,TMIN,253
JA000047991,2012-07-31,TMAX,294
JA000047991,2007-11-23,TMIN,235
JA000047991,2014-05-17,TMIN,212
JA000047991,2005-12-26,TMAX,247
JA000047991,2013-03-15,TMAX,269
JA000047991,2014-05-17,TMAX,269
JA000047991,2008-07-21,TMIN,245
JA000047991,2012-01-28,TMAX,224
JA000047991,2008-11-04,TMIN,232
JA000047991,2010-02-04,TMIN,204
JA000047991,2010-03-15,TMAX,242
JA000047991,2010-06-20,TMIN,268
JA000047991,2009-12-24,TMAX,231
JA000047991,2005-11-23,TMAX,279
JA000047991,2012-06-27,TMAX,311
JA000047991,2010-07-07,TMAX,302
JA000047991,2006-10-15,TMAX,303
JA000047991,2011-03-23,TMAX,251
JA000047991,2007-06-14,TMAX,308
JA000047991,2012-06-28,TMAX,307
JA000047991,2006-03-18,TMAX,252
JA000047991,2014-11-13,TMIN,252
JA000047991,2009-10-13,TMAX,315
JA000047991,2007-11-23,TMAX,289
JA000047991,2012-11-10,TMIN,229
JA000047991,2009-12-02,TMAX,293
JA000047991,2005-11-13,TMIN,236
JA000047991,2015-08-01,TMAX,315
JA000047991,2009-04-06,TMIN,216
JA000047991,2005-09-08,TMAX,319
JA000047991,2014-08-01,TMIN,259
JA000047991,2008-10-15,TMIN,264
JA000047991,2009-03-03,TMAX,238
JA000047991,2008-12-10,TMAX,275
JA000047991,2014-04-21,TMAX,248
JA000047991,2011-06-11,TMIN,262
JA000047991,2013-08-18,TMAX,307
JA000047991,2008-06-03,TMIN,264
JA000047991,2007-12-09,TMAX,297
JA000047991,2007-07-13,TMIN,269
JA000047991,2008-04-24,TMIN,225
JA000047991,2010-11-22,TMAX,292
JA000047991,2011-03-31,TMAX,222
JA000047991,2006-03-14,TMAX,282
JA000047991,2013-11-24,TMAX,266
JA000047991,2007-05-29,TMAX,302
JA000047991,2015-08-17,TMAX,316
JA000047991,2014-09-05,TMIN,257
JA000047991,2014-09-22,TMIN,283
JA000047991,2014-09-22,TMAX,315
JA000047991,2013-05-30,TMAX,264
JA000047991,2013-11-18,TMIN,222
JA000047991,2006-06-23,TMAX,302
JA000047991,2013-11-18,TMAX,283
JA000047991,2011-01-01,TMIN,218
JA000047991,2007-05-29,TMIN,246
JA000047991,2008-04-24,TMAX,280
JA000047991,2014-11-23,TMAX,288
JA000047991,2011-12-21,TMIN,220
JA000047991,2009-06-08,TMAX,310
JA000047991,2013-09-21,TMAX,307
JA000047991,2015-08-17,TMIN,281
JA000047991,2011-05-23,TMIN,247
JA000047991,2015-04-15,TMIN,225
JA000047991,2009-10-02,TMAX,304
JA000047991,2015-04-15,TMAX,277
JA000047991,2011-10-22,TMIN,255
JA000047991,2015-04-25,TMIN,234
JA000047991,2015-04-25,TMAX,276
JA000047991,2010-04-24,TMIN,239
JA000047991,2008-04-19,TMIN,247
JA000047991,2011-11-04,TMIN,255
JA000047991,2006-03-19,TMIN,175
JA000047991,2013-04-06,TMIN,218
JA000047991,2006-12-08,TMIN,248
JA000047991,2014-11-09,TMAX,285
JA000047991,2014-08-06,TMIN,250
JA000047991,2011-11-04,TMAX,281
JA000047991,2011-07-08,TMIN,251
JA000047991,2010-08-23,TMAX,300
JA000047991,2005-05-08,TMIN,214
JA000047991,2010-08-23,TMIN,268
JA000047991,2015-08-01,TMIN,280
JA000047991,2012-10-24,TMIN,250
JA000047991,2009-12-24,TMIN,206
JA000047991,2008-01-27,TMAX,239
JA000047991,2012-10-24,TMAX,297
JA000047991,2010-07-02,TMAX,294
JA000047991,2015-01-14,TMIN,175
JA000047991,2008-06-04,TMIN,256
JA000047991,2013-09-14,TMAX,315
JA000047991,2009-04-02,TMAX,270
JA000047991,2011-10-10,TMAX,294
JA000047991,2011-06-21,TMAX,318
JA000047991,2012-05-14,TMAX,272
JA000047991,2014-12-07,TMIN,233
JA000047991,2011-08-04,TMAX,312
JA000047991,2010-06-20,TMAX,299
JA000047991,2013-04-22,TMAX,291
JA000047991,2009-01-16,TMIN,193
JA000047991,2014-09-13,TMAX,318
JA000047991,2007-09-14,TMIN,268
JA000047991,2009-09-09,TMAX,297
JA000047991,2013-01-14,TMIN,215
JA000047991,2009-03-29,TMAX,241
JA000047991,2013-04-22,TMIN,239
JA000047991,2015-06-05,TMIN,257
JA000047991,2015-02-12,TMAX,226
JA000047991,2008-06-03,TMAX,312
JA000047991,2007-09-12,TMIN,237
JA000047991,2009-05-06,TMIN,231
JA000047991,2007-08-11,TMAX,309
JA000047991,2009-11-24,TMIN,258
JA000047991,2015-06-05,TMAX,296
