ID,Date,Element,Data_Value
FGM00081401,2010-02-05,TMIN,233
NSM00081225,2012-02-06,TMAX,305
FGM00081408,2011-05-14,TMAX,309
FGM00081415,2015-11-28,TMIN,236
FG000081405,2014-05-28,TMAX,311
FG000081405,2015-05-24,TMIN,217
FG000081405,2005-11-02,TMIN,225
FG000081405,2009-10-06,TMAX,343
FGM00081401,2009-10-02,TMIN,223
FGM00081401,2010-10-09,TMIN,225
FGM00081401,2009-09-23,TMIN,228
NSM00081225,2009-12-01,TMIN,230
FG000081405,2009-10-06,TMIN,240
FGM00081408,2013-07-15,TMIN,216
FGM00081415,2006-05-19,TMAX,317
FGM00081408,2009-12-20,TMIN,235
FGM00081415,2013-07-21,TMAX,333
FGM00081401,2006-08-25,TMAX,341
FGM00081415,2015-11-28,TMAX,341
FGM00081401,2015-11-19,TMAX,352
FGM00081408,2011-05-14,TMIN,225
FG000081405,2006-07-04,TMIN,227
FGM00081401,2013-12-26,TMAX,275
FGM00081408,2015-03-28,TMAX,262
FGM00081401,2011-10-05,TMIN,228
FGM00081415,2013-08-03,TMIN,220
NSM00081225,2012-09-08,TMAX,342
FGM00081401,2006-08-25,TMIN,230
FGM00081401,2010-02-05,TMAX,306
FG000081405,2014-03-23,TMAX,302
FGM00081408,2013-12-16,TMIN,234
NSM00081225,2009-12-21,TMIN,234
FGM00081408,2011-05-02,TMIN,237
FGM00081408,2010-10-25,TMAX,359
FGM00081408,2013-01-19,TMAX,311
FG000081405,2011-05-29,TMAX,321
FGM00081415,2006-05-19,TMIN,220
NSM00081225,2010-01-18,TMAX,300
FGM00081401,2012-10-07,TMIN,223
FGM00081401,2014-07-04,TMIN,217
NSM00081225,2007-09-05,TMIN,229
FGM00081408,2010-10-25,TMIN,218
FGM00081401,2010-01-05,TMIN,229
FG000081405,2011-05-23,TMIN,235
FG000081405,2005-11-02,TMAX,330
FGM00081415,2013-08-03,TMAX,327
FG000081405,2013-07-15,TMIN,225
FGM00081415,2009-06-11,TMIN,236
FGM00081401,2009-12-01,TMAX,308
FGM00081415,2009-05-13,TMIN,222
NSM00081225,2005-11-25,TMIN,222
NSM00081225,2005-01-07,TMAX,304
FG000081405,2014-06-03,TMAX,303
FG000081405,2013-06-13,TMAX,312
FG000081405,2006-08-14,TMIN,225
FGM00081408,2013-01-19,TMIN,238
FGM00081408,2009-08-30,TMIN,218
FG000081405,2009-04-12,TMAX,308
FGM00081408,2012-11-15,TMIN,205
FGM00081415,2009-05-13,TMAX,332
FGM00081415,2014-10-29,TMIN,229
FGM00081415,2013-06-08,TMAX,348
FGM00081415,2005-10-28,TMIN,224
FGM00081401,2005-01-16,TMIN,240
FGM00081408,2009-11-24,TMIN,232
FGM00081401,2011-03-02,TMIN,210
FGM00081408,2005-12-30,TMAX,311
FGM00081408,2012-04-18,TMIN,234
FGM00081408,2005-12-30,TMIN,231
NSM00081225,2007-05-14,TMIN,232
FG000081405,2007-04-18,TMIN,233
NSM00081225,2012-08-24,TMAX,334
FG000081405,2005-12-14,TMIN,229
FG000081405,2007-04-18,TMAX,315
FG000081405,2010-05-28,TMIN,248
FG000081405,2013-04-11,TMIN,247
FGM00081415,2014-11-09,TMIN,229
FG000081405,2015-12-12,TMAX,311
NSM00081225,2011-12-12,TMAX,328
NSM00081225,2006-11-12,TMAX,330
NSM00081225,2010-09-21,TMIN,235
FGM00081415,2013-11-23,TMIN,230
FGM00081401,2005-02-23,TMAX,312
FG000081405,2013-07-15,TMAX,316
FG000081405,2015-09-01,TMIN,215
NSM00081225,2013-04-15,TMAX,330
FG000081405,2014-08-07,TMIN,228
FGM00081401,2011-06-29,TMIN,227
FGM00081401,2005-12-07,TMAX,326
FGM00081401,2008-10-27,TMIN,232
FGM00081415,2009-06-09,TMAX,326
NSM00081225,2012-10-04,TMAX,350
