ID,Date,Element,Data_Value
FP000091958,2014-04-28,TMAX,233
FP000091958,2008-11-17,TMIN,195
FP000091948,2011-04-05,TMIN,222
FP000091958,2008-07-03,TMAX,231
FP000091958,2006-10-20,TMIN,219
FP000091948,2007-05-21,TMAX,249
FP000091948,2006-06-04,TMAX,270
FP000091948,2008-11-01,TMIN,216
FP000091958,2008-11-17,TMAX,210
FP000091958,2006-11-28,TMAX,237
FP000091948,2006-06-04,TMIN,214
FP000091948,2012-07-11,TMAX,252
FP000091958,2010-10-04,TMAX,215
FP000091948,2012-08-29,TMIN,199
FP000091958,2006-10-20,TMAX,247
FP000091958,2014-07-28,TMAX,219
FP000091958,2008-06-14,TMIN,135
FP000091958,2007-08-25,TMAX,223
FP000091948,2010-07-25,TMIN,208
FP000091948,2014-03-12,TMAX,289
FP000091948,2006-06-19,TMAX,229
FP000091948,2005-05-05,TMAX,270
FP000091958,2014-10-15,TMAX,241
FP000091948,2010-07-25,TMAX,238
FP000091958,2010-08-13,TMIN,200
FP000091948,2006-07-14,TMIN,192
FP000091948,2006-03-15,TMAX,296
FP000091958,2015-07-01,TMAX,205
FP000091958,2010-10-04,TMIN,175
FP000091948,2014-04-21,TMAX,273
FP000091948,2014-08-17,TMIN,189
FP000091958,2015-07-01,TMIN,124
FP000091948,2008-09-29,TMAX,256
FP000091948,2012-10-26,TMIN,196
FP000091958,2006-08-09,TMIN,126
FP000091948,2006-01-21,TMAX,273
FP000091958,2006-04-29,TMAX,234
FP000091948,2006-06-19,TMIN,191
FP000091948,2012-08-03,TMAX,232
FP000091958,2012-05-04,TMIN,193
FP000091958,2011-02-14,TMAX,277
FP000091948,2006-03-15,TMIN,238
FP000091948,2014-01-08,TMAX,291
FP000091948,2008-11-17,TMIN,216
FP000091958,2009-10-27,TMIN,133
FP000091948,2013-04-13,TMIN,235
FP000091958,2006-04-29,TMIN,184
FP000091948,2013-07-22,TMIN,175
FP000091948,2006-01-21,TMIN,235
FP000091958,2013-10-09,TMAX,216
FP000091958,2007-08-12,TMIN,166
FP000091958,2008-12-22,TMIN,214
FP000091948,2008-02-20,TMAX,287
FP000091948,2015-11-20,TMIN,216
FP000091948,2013-01-23,TMIN,217
FP000091948,2011-07-27,TMAX,234
FP000091948,2008-11-17,TMAX,270
FP000091948,2005-01-20,TMAX,286
FP000091958,2005-11-19,TMAX,252
FP000091948,2007-06-15,TMIN,197
FP000091958,2011-09-01,TMAX,229
FP000091948,2015-11-20,TMAX,268
FP000091958,2008-06-14,TMAX,206
FP000091958,2015-06-20,TMAX,236
FP000091948,2012-03-01,TMIN,215
FP000091948,2012-08-29,TMAX,249
FP000091958,2005-11-19,TMIN,194
FP000091958,2010-11-23,TMAX,228
FP000091958,2015-01-12,TMAX,253
FP000091958,2006-08-09,TMAX,183
FP000091958,2006-08-25,TMAX,224
FP000091948,2005-05-05,TMIN,217
FP000091958,2009-01-02,TMAX,249
FP000091948,2013-02-26,TMIN,240
FP000091958,2015-10-10,TMIN,179
FP000091948,2010-05-27,TMAX,233
FP000091948,2010-05-27,TMIN,208
FP000091948,2012-12-01,TMIN,220
FP000091958,2006-06-16,TMAX,229
FP000091958,2013-11-27,TMIN,164
FP000091958,2005-06-03,TMAX,203
FP000091958,2013-04-04,TMIN,225
FP000091948,2011-04-07,TMIN,219
FP000091948,2007-03-07,TMIN,248
FP000091958,2011-02-19,TMAX,290
FP000091958,2015-03-21,TMAX,285
FP000091948,2007-03-07,TMAX,293
FP000091948,2007-07-28,TMIN,176
FP000091958,2012-06-01,TMIN,200
FP000091958,2005-01-27,TMIN,222
FP000091958,2006-05-01,TMAX,255
FP000091958,2014-05-21,TMIN,169
FP000091948,2014-11-29,TMIN,202
FP000091958,2014-07-27,TMIN,160
FP000091958,2006-05-01,TMIN,174
FP000091958,2009-02-01,TMIN,192
FP000091958,2005-06-27,TMIN,149
FP000091948,2015-11-17,TMIN,218
FP000091948,2007-07-28,TMAX,205
FP000091958,2005-12-01,TMAX,240
FP000091948,2009-06-07,TMAX,250
FP000091958,2006-09-02,TMAX,227
FP000091958,2007-04-05,TMIN,199
FP000091948,2006-05-18,TMIN,209
FP000091948,2006-11-01,TMAX,245
FP000091958,2005-10-20,TMAX,228
FP000091958,2014-10-15,TMIN,206
FP000091958,2012-12-13,TMAX,245
FP000091948,2013-08-07,TMAX,219
FP000091958,2009-08-08,TMIN,125
FP000091958,2010-01-01,TMIN,212
FP000091948,2007-04-09,TMAX,266
FP000091958,2011-09-23,TMIN,190
FP000091948,2007-02-24,TMAX,284
FP000091958,2009-02-01,TMAX,277
FP000091958,2012-01-18,TMIN,204
FP000091948,2010-10-05,TMIN,200
FP000091958,2007-10-06,TMAX,209
FP000091958,2012-12-13,TMIN,216
FP000091958,2014-05-20,TMAX,215
FP000091958,2013-05-11,TMIN,181
FP000091948,2014-03-02,TMIN,212
FP000091948,2012-07-06,TMIN,206
FP000091958,2014-01-19,TMIN,209
FP000091958,2005-12-24,TMAX,259
FP000091958,2005-12-24,TMIN,180
FP000091958,2011-09-06,TMAX,236
FP000091958,2013-04-03,TMIN,224
FP000091958,2012-03-15,TMIN,212
FP000091948,2012-12-23,TMAX,282
FP000091948,2014-05-04,TMAX,248
FP000091958,2012-03-15,TMAX,247
FP000091948,2007-04-09,TMIN,233
FP000091958,2014-12-08,TMIN,191
FP000091958,2005-06-03,TMIN,161
FP000091958,2005-01-27,TMAX,265
FP000091958,2012-06-01,TMAX,230
FP000091948,2005-12-13,TMIN,209
FP000091948,2012-06-07,TMAX,266
FP000091948,2010-01-01,TMAX,289
FP000091948,2008-01-11,TMAX,288
FP000091948,2008-11-23,TMAX,269
FP000091958,2009-12-16,TMAX,253
FP000091948,2012-12-03,TMIN,228
FP000091948,2008-09-29,TMIN,213
FP000091948,2012-12-23,TMIN,235
FP000091948,2014-11-29,TMAX,252
FP000091948,2013-07-30,TMIN,165
FP000091958,2009-05-02,TMIN,213
FP000091948,2010-06-11,TMIN,213
FP000091958,2011-12-23,TMIN,218
FP000091958,2011-12-23,TMAX,277
FP000091958,2011-08-25,TMIN,141
FP000091958,2009-05-03,TMAX,263
FP000091958,2010-01-17,TMAX,233
FP000091948,2008-01-09,TMAX,288
FP000091958,2010-05-02,TMIN,190
FP000091948,2008-01-09,TMIN,234
FP000091958,2010-01-17,TMIN,182
FP000091948,2012-10-26,TMAX,225
FP000091958,2013-10-01,TMIN,188
FP000091948,2010-06-12,TMIN,218
FP000091958,2015-07-15,TMIN,160
FP000091958,2014-03-01,TMAX,270
FP000091958,2012-06-05,TMAX,223
FP000091958,2013-12-06,TMAX,228
FP000091958,2014-03-26,TMIN,179
FP000091948,2008-12-28,TMIN,229
FP000091958,2013-12-06,TMIN,191
FP000091958,2011-04-16,TMIN,218
FP000091958,2011-04-16,TMAX,257
FP000091948,2012-12-03,TMAX,283
FP000091958,2012-08-28,TMAX,221
FP000091958,2007-08-26,TMAX,188
FP000091948,2006-03-20,TMAX,299
FP000091948,2010-06-12,TMAX,264
FP000091948,2008-03-16,TMAX,291
FP000091948,2012-08-10,TMAX,222
FP000091958,2005-09-02,TMAX,198
FP000091948,2014-06-09,TMIN,201
FP000091958,2005-12-01,TMIN,213
FP000091958,2012-10-16,TMAX,219
FP000091948,2009-06-07,TMIN,207
FP000091958,2012-10-16,TMIN,129
FP000091948,2012-05-15,TMAX,265
FP000091958,2005-09-02,TMIN,141
FP000091948,2013-04-07,TMAX,247
FP000091948,2012-12-13,TMIN,221
FP000091958,2008-01-28,TMIN,218
FP000091948,2006-07-21,TMIN,194
FP000091948,2006-07-21,TMAX,242
FP000091948,2012-07-29,TMIN,176
FP000091948,2013-08-14,TMAX,209
FP000091948,2015-02-14,TMAX,295
FP000091958,2009-11-19,TMAX,223
FP000091958,2015-09-14,TMIN,156
FP000091958,2008-11-09,TMIN,209
FP000091948,2008-02-20,TMIN,229
FP000091948,2014-04-21,TMIN,225
FP000091948,2008-03-16,TMIN,244
FP000091958,2015-09-14,TMAX,201
FP000091958,2008-02-03,TMIN,239
FP000091948,2012-06-11,TMIN,186
FP000091958,2011-08-25,TMAX,214
FP000091948,2010-12-21,TMAX,283
FP000091948,2008-07-29,TMIN,201
FP000091958,2014-03-01,TMIN,201
FP000091958,2013-01-26,TMAX,263
FP000091958,2015-10-24,TMIN,174
FP000091958,2015-08-07,TMAX,186
FP000091958,2013-07-01,TMAX,232
FP000091958,2013-11-19,TMAX,238
FP000091958,2005-09-14,TMIN,161
FP000091958,2013-04-12,TMIN,178
FP000091948,2012-12-19,TMIN,241
FP000091958,2007-05-29,TMIN,157
FP000091958,2010-10-08,TMAX,252
FP000091958,2008-02-06,TMAX,285
FP000091948,2009-02-25,TMIN,235
FP000091948,2007-06-23,TMIN,210
FP000091958,2010-02-08,TMAX,242
FP000091958,2013-02-18,TMAX,248
FP000091948,2007-02-18,TMIN,234
FP000091958,2007-10-20,TMAX,221
FP000091958,2008-10-31,TMAX,234
FP000091958,2005-08-09,TMAX,217
FP000091958,2011-07-07,TMAX,208
FP000091948,2012-12-19,TMAX,278
FP000091948,2006-12-29,TMIN,214
FP000091958,2015-12-26,TMIN,205
FP000091958,2005-09-18,TMIN,181
FP000091948,2005-03-01,TMIN,241
FP000091958,2011-12-30,TMIN,256
FP000091948,2013-03-29,TMIN,219
FP000091958,2015-12-22,TMAX,253
FP000091958,2013-11-19,TMIN,200
FP000091958,2014-08-07,TMIN,139
FP000091958,2007-10-20,TMIN,203
FP000091948,2008-04-11,TMAX,285
FP000091948,2013-08-19,TMAX,236
FP000091958,2008-10-31,TMIN,167
FP000091948,2008-04-11,TMIN,234
FP000091948,2007-10-21,TMAX,248
FP000091958,2007-01-16,TMIN,218
FP000091958,2005-09-14,TMAX,193
FP000091958,2009-03-15,TMAX,283
FP000091948,2013-07-07,TMAX,210
FP000091948,2012-01-07,TMAX,287
FP000091958,2013-04-23,TMAX,235
FP000091948,2009-09-12,TMIN,191
FP000091958,2005-12-03,TMAX,224
FP000091948,2009-09-12,TMAX,250
FP000091948,2009-12-29,TMAX,287
FP000091948,2015-02-04,TMIN,244
FP000091958,2006-08-27,TMAX,184
FP000091948,2009-02-25,TMAX,296
FP000091948,2009-12-29,TMIN,239
FP000091958,2013-08-26,TMIN,138
FP000091958,2011-06-11,TMAX,229
FP000091948,2005-07-05,TMIN,210
FP000091958,2013-04-23,TMIN,190
FP000091948,2012-04-23,TMIN,227
FP000091958,2013-02-18,TMIN,197
FP000091958,2007-12-16,TMIN,189
FP000091958,2009-05-08,TMIN,182
FP000091958,2009-08-06,TMAX,203
FP000091948,2007-06-23,TMAX,238
FP000091948,2005-04-11,TMAX,260
FP000091958,2010-02-08,TMIN,198
FP000091948,2009-09-29,TMAX,238
FP000091958,2007-01-16,TMAX,234
FP000091958,2014-01-08,TMIN,190
FP000091948,2012-06-22,TMAX,229
FP000091948,2009-09-29,TMIN,200
FP000091958,2010-05-13,TMAX,219
FP000091948,2010-10-10,TMIN,195
FP000091948,2008-09-21,TMAX,239
FP000091948,2006-08-11,TMIN,150
FP000091958,2006-09-03,TMAX,227
FP000091948,2012-01-07,TMIN,231
FP000091958,2014-12-31,TMIN,154
FP000091948,2013-05-14,TMIN,229
FP000091948,2008-09-11,TMAX,214
FP000091958,2012-12-22,TMIN,209
FP000091948,2015-01-08,TMIN,214
FP000091958,2009-06-06,TMIN,180
FP000091948,2012-10-20,TMAX,261
FP000091948,2015-08-17,TMIN,192
FP000091958,2005-06-17,TMAX,223
FP000091958,2005-06-17,TMIN,170
FP000091958,2012-03-16,TMAX,243
FP000091958,2013-06-15,TMIN,196
FP000091958,2013-06-15,TMAX,214
FP000091948,2007-10-21,TMIN,192
FP000091958,2011-05-20,TMIN,167
FP000091958,2012-11-05,TMAX,244
FP000091948,2005-04-29,TMAX,280
FP000091948,2010-07-27,TMIN,199
FP000091958,2009-05-08,TMAX,240
FP000091958,2009-06-18,TMAX,226
FP000091958,2011-01-12,TMIN,216
FP000091948,2008-07-21,TMIN,193
FP000091948,2011-11-27,TMAX,266
FP000091948,2010-10-06,TMAX,253
FP000091948,2008-09-11,TMIN,179
FP000091948,2014-01-02,TMIN,212
FP000091948,2006-10-11,TMIN,197
FP000091958,2010-08-28,TMAX,221
FP000091958,2015-09-29,TMAX,188
FP000091948,2011-11-27,TMIN,222
FP000091948,2005-04-29,TMIN,215
FP000091948,2014-01-02,TMAX,274
FP000091958,2005-09-18,TMAX,209
FP000091948,2006-06-02,TMAX,260
FP000091958,2013-01-14,TMIN,213
FP000091958,2012-08-26,TMIN,133
FP000091958,2010-01-11,TMAX,262
FP000091958,2011-10-22,TMIN,196
FP000091958,2013-07-01,TMIN,198
FP000091948,2012-10-20,TMIN,210
FP000091958,2012-08-26,TMAX,208
FP000091958,2007-03-29,TMAX,257
FP000091948,2005-03-01,TMAX,284
FP000091948,2008-07-31,TMAX,239
FP000091958,2008-07-30,TMIN,170
FP000091958,2005-11-29,TMAX,270
FP000091948,2005-05-30,TMAX,231
FP000091948,2011-09-07,TMIN,199
FP000091948,2006-01-03,TMAX,297
FP000091948,2006-10-27,TMAX,263
FP000091958,2005-11-29,TMIN,228
FP000091948,2007-03-01,TMAX,288
FP000091958,2005-02-24,TMAX,254
FP000091948,2011-12-29,TMIN,236
FP000091948,2012-01-31,TMAX,284
FP000091958,2008-07-30,TMAX,202
FP000091948,2012-01-31,TMIN,232
FP000091958,2006-01-10,TMIN,216
FP000091958,2010-08-21,TMAX,206
FP000091958,2011-12-30,TMAX,269
FP000091958,2006-01-10,TMAX,246
FP000091958,2006-01-21,TMIN,238
FP000091958,2005-08-09,TMIN,127
FP000091958,2014-08-28,TMAX,217
FP000091948,2011-09-07,TMAX,260
FP000091958,2006-09-03,TMIN,185
FP000091958,2012-12-22,TMAX,243
FP000091948,2006-03-20,TMIN,254
FP000091948,2015-01-13,TMIN,242
FP000091958,2012-09-29,TMIN,164
FP000091958,2005-12-02,TMAX,236
FP000091948,2015-09-08,TMIN,180
FP000091948,2007-09-02,TMAX,251
FP000091958,2008-04-30,TMIN,202
FP000091948,2015-12-04,TMAX,272
FP000091958,2007-03-29,TMIN,220
FP000091958,2005-05-04,TMAX,221
FP000091948,2010-07-09,TMAX,242
FP000091958,2008-04-30,TMAX,261
FP000091958,2012-10-10,TMAX,202
FP000091958,2007-08-12,TMAX,195
FP000091948,2005-01-07,TMIN,218
FP000091958,2009-05-10,TMAX,238
FP000091958,2015-10-09,TMIN,133
FP000091958,2007-03-14,TMAX,254
FP000091958,2011-07-07,TMIN,179
FP000091958,2008-01-12,TMAX,274
FP000091948,2007-01-20,TMAX,292
FP000091958,2007-03-14,TMIN,225
FP000091958,2014-04-01,TMAX,243
FP000091948,2006-02-26,TMIN,252
FP000091948,2007-03-26,TMAX,283
FP000091948,2013-01-23,TMAX,273
FP000091948,2009-09-10,TMIN,195
FP000091948,2013-02-18,TMAX,288
FP000091958,2006-09-24,TMAX,205
FP000091948,2014-02-17,TMIN,244
FP000091948,2005-09-02,TMAX,255
FP000091948,2013-04-13,TMAX,276
FP000091948,2007-03-26,TMIN,224
FP000091958,2010-12-08,TMIN,218
FP000091958,2006-09-12,TMAX,228
FP000091958,2010-12-08,TMAX,264
FP000091958,2015-10-24,TMAX,199
FP000091948,2008-11-23,TMIN,215
FP000091948,2007-11-02,TMAX,246
FP000091958,2011-04-15,TMAX,273
FP000091958,2008-10-24,TMIN,169
FP000091958,2012-09-22,TMAX,224
FP000091948,2015-07-09,TMIN,167
FP000091948,2013-08-05,TMIN,193
FP000091958,2012-06-16,TMIN,176
FP000091958,2007-06-10,TMAX,231
FP000091948,2009-10-21,TMAX,244
FP000091958,2006-08-23,TMIN,115
FP000091958,2013-09-05,TMIN,165
FP000091948,2009-06-14,TMIN,212
FP000091948,2005-04-14,TMAX,259
FP000091948,2009-06-14,TMAX,253
FP000091948,2011-07-27,TMIN,186
FP000091958,2012-09-11,TMIN,155
FP000091958,2011-12-10,TMAX,230
