ID,Date,Element,Data_Value
USR0000AREI,2009-08-08,TMAX,167
USW00026615,2015-08-29,TMIN,50
USR0000AREI,2007-03-11,TMAX,-133
USR0000AREI,2008-05-02,TMAX,6
USW00026615,2005-08-10,TMIN,72
USW00026615,2005-07-30,TMIN,100
USW00026615,2012-12-17,TMAX,-39
USR0000AREI,2009-11-06,TMAX,-33
USW00026615,2006-09-10,TMIN,100
USW00026615,2010-02-09,TMAX,-11
USR0000AREI,2009-11-06,TMIN,-117
USR0000AREI,2007-12-15,TMIN,-200
USR0000AREI,2012-12-12,TMAX,11
USW00026615,2011-07-19,TMIN,72
USW00026615,2012-12-31,TMIN,-61
USW00026615,2007-01-06,TMAX,-256
USW00026615,2010-07-21,TMAX,111
USR0000AREI,2007-04-19,TMAX,-11
USW00026615,2010-07-21,TMIN,83
USW00026615,2006-09-10,TMAX,128
USR0000AREI,2007-05-07,TMAX,39
USW00026615,2005-09-17,TMIN,33
USW00026615,2009-07-11,TMAX,250
USW00026615,2012-01-07,TMIN,-339
USW00026615,2008-01-31,TMIN,-139
USW00026615,2009-02-25,TMAX,6
USW00026615,2011-09-01,TMAX,100
USR0000AREI,2013-03-31,TMAX,-44
USR0000AREI,2008-06-30,TMIN,39
USW00026615,2005-11-23,TMIN,-272
USR0000AREI,2010-12-14,TMAX,-158
USR0000AREI,2013-05-12,TMAX,44
USR0000AREI,2007-04-19,TMIN,-144
USR0000AREI,2008-08-16,TMIN,94
USR0000AREI,2012-09-19,TMIN,33
USR0000AREI,2008-05-02,TMIN,-89
USR0000AREI,2011-11-07,TMIN,-213
USR0000AREI,2015-07-21,TMAX,150
USW00026615,2015-08-29,TMAX,128
USR0000AREI,2010-12-14,TMIN,-235
USW00026615,2011-02-08,TMIN,0
USW00026615,2006-01-13,TMIN,-233
USR0000AREI,2007-07-15,TMIN,83
USW00026615,2014-04-18,TMAX,94
USW00026615,2009-05-20,TMAX,83
USR0000AREI,2013-05-12,TMIN,-50
USR0000AREI,2015-04-13,TMIN,-161
USR0000AREI,2012-09-19,TMAX,111
USR0000AREI,2006-08-22,TMAX,106
USR0000AREI,2011-03-14,TMIN,-147
USW00026615,2006-07-28,TMAX,133
USW00026615,2008-07-22,TMAX,133
USR0000AREI,2010-06-20,TMIN,64
USR0000AREI,2010-04-29,TMAX,44
USR0000AREI,2007-09-20,TMIN,67
USW00026615,2012-12-17,TMIN,-128
USW00026615,2007-08-19,TMIN,128
USW00026615,2015-07-17,TMIN,106
USW00026615,2014-01-11,TMAX,-149
USW00026615,2011-03-20,TMIN,0
USW00026615,2014-01-11,TMIN,-199
USR0000AREI,2007-12-29,TMAX,-106
USR0000AREI,2006-04-11,TMAX,0
USR0000AREI,2015-04-19,TMAX,39
USW00026615,2005-02-18,TMIN,0
USR0000AREI,2007-12-29,TMIN,-167
USR0000AREI,2010-09-18,TMAX,189
USW00026615,2005-07-17,TMIN,100
USW00026615,2014-10-05,TMAX,28
USW00026615,2007-06-17,TMIN,56
USW00026615,2005-09-17,TMAX,111
USR0000AREI,2010-06-05,TMAX,147
USR0000AREI,2011-11-12,TMAX,-32
USW00026615,2007-06-17,TMAX,122
USR0000AREI,2007-12-05,TMAX,0
USW00026615,2011-09-17,TMIN,17
USW00026615,2014-06-30,TMAX,172
USR0000AREI,2005-10-16,TMIN,-6
USR0000AREI,2007-01-16,TMIN,-189
USR0000AREI,2007-02-05,TMAX,-17
USR0000AREI,2006-02-03,TMAX,-178
USR0000AREI,2013-01-27,TMIN,-289
USR0000AREI,2013-01-27,TMAX,-228
USW00026615,2011-08-23,TMAX,100
USR0000AREI,2015-03-15,TMIN,-233
USW00026615,2005-02-18,TMAX,33
USW00026615,2008-03-24,TMAX,-100
USW00026615,2008-06-02,TMAX,161
USR0000AREI,2005-09-22,TMIN,83
USW00026615,2011-08-15,TMAX,183
USW00026615,2005-07-17,TMAX,139
USW00026615,2010-02-09,TMIN,-117
USW00026615,2011-08-23,TMIN,17
USR0000AREI,2006-04-11,TMIN,-50
USW00026615,2011-03-20,TMAX,28
USW00026615,2009-02-25,TMIN,-67
USR0000AREI,2007-12-05,TMIN,-39
USR0000AREI,2015-04-19,TMIN,-78
USW00026615,2005-11-23,TMAX,-183
USW00026615,2015-07-15,TMAX,194
USR0000AREI,2011-01-21,TMAX,-191
USR0000AREI,2007-03-11,TMIN,-233
USR0000AREI,2011-01-21,TMIN,-243
USR0000AREI,2008-07-03,TMIN,100
USR0000AREI,2010-04-03,TMIN,-222
USW00026615,2015-09-28,TMAX,50
USR0000AREI,2007-12-15,TMAX,-106
USR0000AREI,2010-08-20,TMIN,89
USW00026615,2015-02-14,TMAX,-82
USW00026615,2007-08-19,TMAX,206
USW00026615,2011-09-17,TMAX,150
USW00026615,2007-01-02,TMAX,-239
USR0000AREI,2010-08-20,TMAX,163
USW00026615,2013-04-06,TMAX,-99
USW00026615,2015-07-15,TMIN,100
USR0000AREI,2010-06-20,TMAX,173
USW00026615,2007-01-02,TMIN,-283
USR0000AREI,2007-11-26,TMIN,-50
USW00026615,2007-09-09,TMAX,144
USR0000AREI,2007-08-04,TMIN,100
USR0000AREI,2005-10-16,TMAX,56
USR0000AREI,2010-06-05,TMIN,53
USR0000AREI,2007-06-22,TMIN,78
