ID,Date,Element,Data_Value
AYM00088963,2005-10-08,TMAX,24
AYM00089055,2013-07-13,TMAX,-145
AYM00089053,2011-03-28,TMAX,0
AYM00089059,2006-12-10,TMIN,-10
AYM00089058,2012-07-11,TMAX,-27
AYM00089062,2011-02-22,TMIN,-4
AYM00089055,2013-03-07,TMIN,-59
AYM00088968,2005-06-12,TMIN,-153
AYM00089057,2015-10-05,TMAX,10
AYM00089056,2013-07-13,TMAX,-23
AYM00089053,2013-06-19,TMAX,-10
AYM00089050,2014-01-30,TMAX,34
AYM00089055,2013-06-21,TMAX,-150
AYM00089053,2011-03-28,TMIN,-49
AYM00089059,2011-01-21,TMIN,-60
AYM00089063,2011-07-01,TMIN,-127
AYM00089059,2008-01-23,TMAX,12
AYM00089057,2015-10-05,TMIN,-15
AYM00089056,2005-12-09,TMIN,-18
AYM00089066,2015-10-23,TMIN,-35
AYM00089063,2014-03-27,TMAX,0
AYM00089059,2007-06-04,TMIN,-90
AYM00089055,2009-06-17,TMAX,-230
AYM00089053,2009-11-01,TMIN,-85
AYM00088963,2007-02-05,TMIN,-10
AYM00089054,2013-06-18,TMIN,-89
AYM00089058,2013-08-04,TMAX,-82
AYM00089251,2013-08-04,TMAX,-75
AYM00089059,2007-06-04,TMAX,-65
AYM00089062,2006-12-08,TMAX,43
AYM00088968,2010-03-23,TMAX,22
AYM00089251,2013-08-04,TMIN,-140
AYM00088963,2008-05-07,TMIN,-145
AYM00089062,2006-12-08,TMIN,1
AYM00088963,2014-08-08,TMIN,-32
AYM00088968,2014-12-07,TMAX,32
AYM00088968,2014-03-27,TMIN,-38
AYM00089251,2012-03-05,TMAX,82
AYM00089054,2005-09-26,TMAX,-18
AYM00089055,2011-07-01,TMAX,-150
AYM00089055,2009-06-17,TMIN,-268
AYM00088963,2011-07-02,TMIN,-160
AYM00088963,2008-05-06,TMIN,-164
AYM00089062,2007-07-20,TMIN,-194
AYM00089058,2013-08-04,TMIN,-145
AYM00089059,2005-04-20,TMIN,-140
AYM00089054,2013-01-06,TMAX,30
AYM00089059,2011-01-21,TMAX,0
AYM00089054,2013-06-18,TMAX,-17
AYM00088963,2011-05-18,TMAX,40
AYM00088963,2008-05-06,TMAX,-41
AYM00088968,2014-03-27,TMAX,-4
AYM00089053,2015-05-06,TMIN,-10
AYM00089251,2007-02-01,TMIN,-12
AYM00089062,2008-03-22,TMIN,-57
AYM00088968,2005-11-02,TMIN,-21
AYM00089054,2013-01-06,TMIN,1
AYM00089062,2007-05-10,TMAX,-1
AYM00088963,2007-02-05,TMAX,18
AYM00089050,2012-12-03,TMIN,-56
AYM00089251,2012-03-05,TMIN,13
AYM00089058,2013-03-03,TMAX,39
AYM00089066,2013-01-13,TMAX,65
AYM00088968,2012-06-24,TMAX,-20
AYM00089054,2007-02-27,TMIN,-23
AYM00089061,2013-07-16,TMAX,6
AYM00088963,2011-09-03,TMAX,50
AYM00089062,2008-01-06,TMIN,-18
AYM00089251,2014-07-23,TMAX,-3
AYM00089050,2014-11-21,TMAX,3
AYM00088968,2006-11-21,TMIN,-21
AYM00088968,2006-11-21,TMAX,24
AYM00089059,2011-09-24,TMIN,-25
AYM00089055,2013-06-19,TMAX,-131
AYM00089054,2014-10-26,TMAX,-2
AYM00089054,2007-05-18,TMAX,-105
AYM00089055,2013-06-19,TMIN,-180
AYM00089050,2014-11-21,TMIN,-7
AYM00089066,2012-04-10,TMIN,-89
AYM00088963,2015-08-21,TMAX,-101
AYM00089061,2014-10-27,TMIN,-125
AYM00089054,2007-05-18,TMIN,-152
AYM00089053,2011-10-12,TMIN,-24
AYM00089251,2014-07-23,TMIN,-32
AYM00088968,2011-02-18,TMIN,10
AYM00089056,2014-08-21,TMIN,-174
AYM00089055,2014-10-16,TMAX,-136
AYM00089062,2008-04-23,TMAX,-22
AYM00088963,2006-01-18,TMIN,-5
AYM00089061,2013-03-10,TMAX,54
AYM00088963,2006-01-18,TMAX,110
AYM00089057,2012-04-23,TMIN,-42
AYM00089053,2012-04-12,TMIN,8
AYM00089057,2011-04-27,TMIN,-110
AYM00089054,2014-10-26,TMIN,-30
AYM00088968,2011-02-18,TMAX,77
AYM00089053,2012-04-12,TMAX,36
AYM00089061,2014-10-27,TMAX,8
AYM00089055,2014-04-08,TMIN,-115
AYM00089066,2014-03-23,TMIN,-95
AYM00089062,2011-09-24,TMAX,4
AYM00089059,2008-02-25,TMIN,6
AYM00089059,2008-02-25,TMAX,32
AYM00089054,2015-06-15,TMIN,-138
AYM00089061,2009-10-21,TMAX,-14
AYM00089063,2013-08-17,TMIN,-43
AYM00088963,2014-08-08,TMAX,1
AYM00089056,2011-02-18,TMIN,18
AYM00089053,2011-10-12,TMAX,2
AYM00088963,2012-03-27,TMAX,124
AYM00089061,2005-06-09,TMAX,-62
AYM00089056,2008-03-19,TMIN,-52
AYM00089050,2014-01-30,TMIN,-19
AYM00088968,2014-03-06,TMIN,-22
AYM00089061,2009-10-21,TMIN,-73
AYM00088968,2012-04-08,TMAX,-2
AYM00089053,2009-10-17,TMIN,-70
AYM00089057,2014-07-28,TMIN,-36
AYM00089053,2011-04-27,TMIN,-120
AYM00089057,2011-02-23,TMAX,59
AYM00089057,2008-04-23,TMAX,20
AYM00089063,2014-04-06,TMAX,-4
AYM00089063,2008-01-06,TMAX,10
AYM00089063,2008-01-06,TMIN,-19
AYM00089054,2015-05-06,TMIN,-28
AYM00089061,2014-08-01,TMIN,-96
AYM00088968,2015-10-03,TMIN,-20
AYM00088968,2015-10-03,TMAX,46
AYM00089055,2007-05-13,TMIN,-212
AYM00089061,2007-06-07,TMAX,-28
AYM00089057,2011-02-23,TMIN,16
AYM00089055,2007-05-13,TMAX,-166
AYM00089063,2014-04-06,TMIN,-49
