ID,Date,Element,Data_Value
AYM00089642,2010-08-01,TMAX,-209
AYM00089642,2009-04-29,TMIN,-202
AYM00089642,2013-10-14,TMAX,-31
AYM00089642,2010-08-25,TMIN,-166
AYM00089661,2005-01-17,TMAX,-7
AYM00089611,2012-12-04,TMIN,-103
AYM00089611,2013-08-22,TMAX,-103
AYM00089615,2012-01-13,TMAX,18
AYM00089642,2013-02-03,TMAX,16
AYM00089642,2006-07-30,TMAX,-91
AYM00089611,2010-06-30,TMAX,-89
AYM00089642,2013-06-10,TMIN,-254
AYM00089642,2014-12-01,TMAX,-28
AYM00089642,2015-05-12,TMAX,-108
AYM00089642,2013-06-10,TMAX,-197
AYM00089642,2013-07-14,TMAX,-159
AYM00089642,2006-07-30,TMIN,-156
AYM00089611,2006-01-10,TMAX,9
AYM00089642,2009-07-10,TMIN,-129
AYM00089615,2010-01-19,TMIN,-48
AYM00089642,2010-08-25,TMAX,-121
AYM00089615,2010-03-03,TMAX,-68
AYM00089611,2013-12-31,TMAX,35
AYM00089611,2013-11-23,TMIN,-88
AYM00089642,2011-06-20,TMIN,-112
AYM00089642,2014-12-01,TMIN,-86
AYM00089642,2014-08-26,TMAX,-161
AYM00089809,2014-01-07,TMIN,-14
AYM00089611,2012-12-04,TMAX,-13
AYM00089642,2009-06-16,TMAX,-67
AYM00089615,2015-03-24,TMAX,-103
AYM00089611,2013-04-05,TMIN,-226
AYM00089642,2005-04-18,TMIN,-151
AYM00089611,2013-10-05,TMAX,-72
AYM00089615,2012-01-13,TMIN,-85
AYM00089611,2012-03-07,TMAX,-8
AYM00089611,2013-12-31,TMIN,-12
AYM00089642,2013-10-14,TMIN,-121
AYM00089662,2010-01-08,TMAX,0
AYM00089611,2013-11-23,TMAX,-17
AYM00089642,2005-10-05,TMAX,2
AYM00089611,2015-07-24,TMIN,-211
AYM00089642,2011-06-20,TMAX,-86
AYM00089642,2014-08-26,TMIN,-273
AYM00089809,2013-12-06,TMAX,14
AYM00089611,2012-03-07,TMIN,-70
AYM00089642,2013-07-14,TMIN,-262
AYM00089809,2013-12-06,TMIN,-151
AYM00089642,2011-11-09,TMIN,-101
AYM00089611,2005-10-05,TMIN,-233
AYM00089642,2009-06-17,TMIN,-237
AYM00089615,2015-12-15,TMAX,-33
AYM00089642,2008-02-04,TMAX,-16
AYM00089611,2009-11-06,TMAX,-94
AYM00089611,2008-01-12,TMAX,-1
AYM00089611,2008-01-12,TMIN,-61
AYM00089642,2014-04-27,TMAX,-38
AYM00089611,2011-03-31,TMAX,-53
AYM00089611,2010-12-31,TMAX,4
AYM00089642,2010-05-18,TMAX,-94
AYM00089611,2012-06-25,TMIN,-210
AYM00089615,2011-11-13,TMIN,-169
AYM00089642,2012-03-25,TMAX,-76
AYM00089611,2005-05-24,TMAX,-74
AYM00089642,2008-08-18,TMAX,-11
AYM00089611,2010-02-08,TMIN,-17
AYM00089615,2014-03-18,TMAX,-128
AYM00089642,2014-04-27,TMIN,-81
AYM00089642,2006-12-03,TMIN,-28
AYM00089611,2010-02-08,TMAX,22
AYM00089642,2006-01-05,TMIN,-35
AYM00089642,2006-10-17,TMAX,-75
AYM00089611,2009-05-21,TMIN,-230
AYM00089615,2015-12-15,TMIN,-68
AYM00089662,2011-11-17,TMIN,-63
AYM00089642,2011-04-28,TMAX,-85
AYM00089642,2009-03-17,TMAX,-75
AYM00089642,2006-12-03,TMAX,23
AYM00089615,2010-02-01,TMAX,0
AYM00089809,2013-11-27,TMAX,-9
AYM00089642,2007-11-17,TMIN,-68
AYM00089615,2009-12-09,TMIN,-102
AYM00089611,2010-01-11,TMIN,-32
AYM00089611,2011-07-23,TMAX,-80
AYM00089611,2010-06-19,TMIN,-209
AYM00089611,2007-02-14,TMAX,37
AYM00089611,2009-02-22,TMAX,-21
AYM00089642,2005-07-08,TMAX,-140
AYM00089662,2013-12-14,TMIN,-20
AYM00089615,2012-11-26,TMAX,-43
AYM00089615,2012-11-26,TMIN,-119
AYM00089611,2011-02-04,TMAX,18
AYM00089642,2007-04-07,TMIN,-149
AYM00089642,2007-11-17,TMAX,-32
AYM00089611,2014-02-23,TMAX,-25
AYM00089809,2015-12-06,TMAX,43
AYM00089642,2010-05-18,TMIN,-148
AYM00089611,2014-02-23,TMIN,-55
AYM00089611,2015-12-12,TMIN,-60
AYM00089642,2008-02-04,TMIN,-66
AYM00089615,2013-12-27,TMIN,-71
AYM00089611,2012-06-25,TMAX,-101
AYM00089611,2010-11-07,TMAX,-52
AYM00089615,2013-12-27,TMAX,-3
AYM00089611,2009-05-16,TMIN,-239
