ID,Date,Element,Data_Value
CIM00085682,2005-02-12,TMIN,149
CI000085743,2013-07-21,TMAX,89
CIM00085682,2010-05-03,TMIN,99
CIM00085682,2011-09-21,TMAX,158
CIM00085766,2007-01-26,TMIN,94
CIM00085682,2015-05-01,TMAX,193
CIM00085682,2007-07-03,TMAX,126
CI000085743,2012-08-01,TMIN,76
CI000085743,2008-03-05,TMIN,74
CI000085743,2012-04-05,TMIN,28
CIM00085682,2005-07-04,TMAX,142
CIM00085682,2015-05-01,TMIN,87
CIM00085682,2008-11-19,TMIN,103
CIM00085682,2007-07-01,TMAX,122
CIM00085682,2007-05-11,TMIN,30
CIM00085682,2012-08-20,TMIN,87
CIM00085682,2012-11-06,TMIN,90
CIM00085766,2015-10-04,TMIN,108
CIM00085682,2006-05-07,TMAX,163
CI000085743,2008-04-29,TMIN,-12
CIM00085766,2011-09-16,TMIN,56
CIM00085682,2012-01-13,TMAX,282
CIM00085766,2013-03-17,TMIN,53
CIM00085766,2014-08-24,TMIN,76
CIM00085682,2013-01-06,TMAX,237
CI000085743,2013-07-21,TMIN,-50
CIM00085682,2012-11-06,TMAX,211
CI000085743,2010-05-06,TMIN,21
CIM00085766,2011-11-18,TMIN,82
CIM00085682,2008-07-22,TMAX,138
CI000085743,2011-07-14,TMIN,60
CIM00085682,2010-04-23,TMAX,176
CIM00085766,2015-09-04,TMIN,0
CI000085743,2013-04-01,TMAX,267
CI000085743,2009-10-23,TMAX,155
CI000085743,2014-07-26,TMIN,54
CIM00085682,2012-02-13,TMAX,243
CIM00085682,2014-08-31,TMIN,100
CIM00085766,2013-12-06,TMIN,34
CI000085743,2007-07-22,TMAX,80
CIM00085682,2012-10-24,TMIN,68
CIM00085682,2012-05-19,TMAX,145
CI000085743,2013-04-01,TMIN,75
CI000085743,2011-07-14,TMAX,134
CI000085743,2006-11-04,TMIN,12
CI000085743,2011-06-02,TMIN,15
CI000085743,2005-05-26,TMIN,51
CIM00085766,2012-11-30,TMIN,116
CIM00085682,2010-11-02,TMAX,259
CIM00085682,2015-04-12,TMAX,246
CI000085743,2005-10-13,TMIN,33
CIM00085682,2015-07-22,TMIN,58
CIM00085766,2008-11-11,TMIN,67
CI000085743,2008-12-21,TMIN,57
CIM00085682,2012-02-13,TMIN,106
CIM00085682,2012-06-27,TMAX,141
CIM00085682,2011-01-02,TMIN,106
CIM00085682,2012-08-29,TMIN,47
CI000085743,2013-01-27,TMIN,83
CI000085743,2005-06-22,TMIN,45
CIM00085766,2007-01-29,TMAX,230
CI000085743,2013-08-11,TMIN,99
