ID,Date,Element,Data_Value
NZ000939870,2012-01-13,TMAX,189
NZ000939870,2005-09-04,TMIN,87
NZ000939870,2011-04-24,TMIN,125
NZ000939870,2011-06-21,TMAX,135
NZ000939870,2005-01-24,TMAX,209
NZ000939870,2006-01-30,TMIN,122
NZ000939870,2005-06-10,TMAX,99
NZ000939870,2005-03-11,TMIN,61
NZ000939870,2011-07-14,TMAX,129
NZ000939870,2011-02-12,TMIN,61
NZ000939870,2006-12-08,TMAX,153
NZ000939870,2005-06-09,TMIN,68
NZ000939870,2005-10-22,TMAX,116
NZ000939870,2007-12-11,TMIN,128
NZ000939870,2006-01-30,TMAX,217
NZ000939870,2005-11-21,TMAX,188
NZ000939870,2011-05-07,TMIN,149
NZ000939870,2010-10-13,TMAX,126
NZ000939870,2012-03-16,TMIN,103
NZ000939870,2007-08-04,TMAX,112
NZ000939870,2005-01-24,TMIN,145
NZ000939870,2005-10-22,TMIN,67
NZ000939870,2011-07-25,TMAX,81
NZ000939870,2006-12-22,TMAX,157
NZ000939870,2007-09-28,TMAX,88
NZ000939870,2011-02-23,TMIN,129
NZ000939870,2007-09-28,TMIN,25
NZ000939870,2006-03-21,TMAX,192
NZ000939870,2005-07-02,TMIN,53
NZ000939870,2007-12-11,TMAX,185
NZ000939870,2006-07-26,TMIN,68
NZ000939870,2012-03-16,TMAX,151
NZ000939870,2007-01-13,TMIN,150
NZ000939870,2007-11-25,TMIN,91
NZ000939870,2005-03-20,TMIN,118
NZ000939870,2005-06-17,TMIN,80
NZ000939870,2006-09-23,TMAX,116
NZ000939870,2011-11-17,TMAX,129
NZ000939870,2008-01-26,TMAX,195
NZ000939870,2010-07-28,TMAX,95
NZ000939870,2011-02-23,TMAX,191
NZ000939870,2010-08-02,TMAX,134
NZ000939870,2011-07-31,TMAX,88
NZ000939870,2007-11-25,TMAX,178
NZ000939870,2011-08-12,TMAX,105
NZ000939870,2005-03-11,TMAX,164
NZ000939870,2006-07-26,TMAX,92
NZ000939870,2005-07-31,TMAX,122
NZ000939870,2006-03-03,TMIN,86
NZ000939870,2008-01-24,TMAX,175
NZ000939870,2005-08-10,TMAX,104
NZ000939870,2010-12-24,TMIN,103
NZ000939870,2005-02-14,TMIN,143
NZ000939870,2011-04-24,TMAX,167
NZ000939870,2005-07-31,TMIN,55
NZ000939870,2005-09-30,TMIN,74
