ID,Date,Element,Data_Value
AYM00089004,2011-04-03,TMAX,-131
AYM00089004,2008-04-25,TMIN,-146
AYM00089002,2011-09-03,TMAX,-327
AYM00089002,2008-07-21,TMAX,-86
AYM00089004,2014-01-10,TMIN,-67
AYM00089504,2011-05-30,TMAX,-227
AYM00089022,2012-10-05,TMAX,-96
AYM00089022,2013-10-04,TMAX,-259
AYM00089004,2008-01-11,TMIN,-101
AYM00089504,2012-11-19,TMIN,-136
AYM00089504,2011-12-22,TMIN,-87
AYM00089504,2012-02-13,TMAX,-23
AYM00089002,2008-02-25,TMAX,-84
AYM00089002,2013-04-17,TMIN,-161
AYM00089004,2010-01-25,TMIN,-104
AYM00089022,2012-01-07,TMAX,-24
AYM00089504,2010-07-19,TMIN,-259
AYM00089022,2009-02-02,TMIN,-160
AYM00089002,2015-02-27,TMIN,-171
AYM00089022,2007-05-13,TMIN,-228
AYM00089004,2005-12-26,TMAX,-44
AYM00089002,2011-09-03,TMIN,-428
AYM00089022,2008-06-09,TMIN,-327
AYM00089004,2011-05-31,TMIN,-277
AYM00089504,2011-05-30,TMIN,-376
AYM00089022,2010-08-12,TMIN,-382
AYM00089504,2011-08-17,TMIN,-224
AYM00089004,2008-06-27,TMAX,-230
AYM00089004,2012-02-11,TMIN,-114
AYM00089004,2010-06-29,TMAX,-203
AYM00089004,2015-01-18,TMIN,-132
AYM00089002,2010-12-17,TMIN,-34
AYM00089004,2014-08-01,TMAX,-213
AYM00089022,2010-11-09,TMAX,-47
AYM00089004,2010-06-29,TMIN,-299
AYM00089004,2011-04-03,TMIN,-242
AYM00089002,2014-06-16,TMAX,-139
AYM00089002,2005-12-16,TMIN,-36
AYM00089504,2012-03-05,TMAX,-134
AYM00089504,2012-01-21,TMIN,-118
AYM00089002,2014-06-05,TMIN,-255
AYM00089022,2010-01-30,TMIN,-137
AYM00089504,2012-03-05,TMIN,-196
AYM00089002,2012-10-21,TMIN,-236
AYM00089004,2012-12-09,TMAX,-83
AYM00089004,2011-06-05,TMIN,-270
AYM00089504,2015-09-21,TMAX,-245
AYM00089004,2010-05-06,TMAX,-125
AYM00089002,2012-06-28,TMIN,-182
AYM00089004,2008-07-07,TMIN,-268
AYM00089002,2014-06-16,TMIN,-271
AYM00089022,2010-09-01,TMIN,-412
AYM00089504,2015-09-21,TMIN,-342
AYM00089004,2011-10-21,TMAX,-245
AYM00089504,2010-02-18,TMAX,-89
AYM00089002,2012-10-21,TMAX,-63
AYM00089002,2007-12-28,TMIN,-45
AYM00089022,2011-09-21,TMAX,-212
AYM00089004,2008-12-05,TMAX,-63
AYM00089004,2011-05-31,TMAX,-152
AYM00089022,2006-05-24,TMIN,-348
AYM00089002,2006-09-01,TMAX,-129
AYM00089504,2012-01-21,TMAX,-73
AYM00089022,2012-10-05,TMIN,-255
AYM00089022,2010-09-01,TMAX,-283
AYM00089002,2010-09-02,TMIN,-275
AYM00089022,2012-01-07,TMIN,-110
AYM00089004,2011-10-21,TMIN,-298
AYM00089002,2006-01-17,TMIN,-53
AYM00089004,2010-01-25,TMAX,8
AYM00089004,2015-11-30,TMAX,-50
AYM00089002,2005-09-22,TMAX,-185
AYM00089004,2012-02-11,TMAX,-68
AYM00089004,2008-01-11,TMAX,-11
AYM00089002,2010-12-17,TMAX,-10
AYM00089504,2010-02-18,TMIN,-126
AYM00089002,2015-02-27,TMAX,-60
AYM00089002,2011-10-03,TMAX,-86
AYM00089004,2005-12-26,TMIN,-83
AYM00089022,2012-08-05,TMIN,-381
AYM00089004,2011-02-22,TMAX,-75
AYM00089002,2014-08-28,TMIN,-118
AYM00089004,2011-02-12,TMIN,-133
AYM00089002,2013-01-26,TMAX,-24
AYM00089002,2013-01-26,TMIN,-158
AYM00089002,2014-01-24,TMAX,-21
AYM00089022,2009-09-27,TMAX,-279
AYM00089002,2014-08-28,TMAX,-80
AYM00089004,2011-05-14,TMIN,-217
AYM00089504,2013-07-05,TMAX,-205
AYM00089002,2005-04-18,TMIN,-131
AYM00089004,2008-12-06,TMIN,-114
AYM00089022,2006-01-31,TMIN,-170
AYM00089004,2008-12-05,TMIN,-144
AYM00089004,2013-05-12,TMIN,-198
AYM00089504,2011-07-17,TMAX,-248
AYM00089022,2010-09-13,TMIN,-350
AYM00089004,2011-06-25,TMAX,-105
AYM00089004,2013-06-01,TMIN,-207
AYM00089504,2013-03-03,TMIN,-179
AYM00089004,2011-09-21,TMAX,-217
AYM00089022,2011-10-21,TMIN,-261
AYM00089022,2011-10-21,TMAX,-146
AYM00089004,2011-09-21,TMIN,-322
AYM00089002,2006-12-03,TMAX,-26
AYM00089002,2008-04-18,TMAX,-157
AYM00089002,2008-05-28,TMAX,-163
AYM00089004,2013-06-01,TMAX,-93
AYM00089504,2013-03-03,TMAX,-81
AYM00089002,2012-11-12,TMIN,-100
AYM00089002,2006-12-17,TMAX,-12
AYM00089004,2013-05-12,TMAX,-163
AYM00089002,2014-02-09,TMAX,-52
AYM00089004,2010-10-13,TMIN,-169
AYM00089004,2010-10-13,TMAX,-118
AYM00089004,2015-10-21,TMAX,-128
AYM00089022,2009-12-24,TMIN,-75
AYM00089004,2008-12-06,TMAX,-85
AYM00089504,2008-01-02,TMAX,-50
AYM00089002,2006-12-03,TMIN,-78
AYM00089022,2014-01-10,TMAX,4
AYM00089022,2005-08-31,TMAX,-237
AYM00089504,2012-07-02,TMAX,-101
AYM00089022,2010-10-13,TMIN,-155
AYM00089004,2013-05-15,TMAX,-111
AYM00089004,2013-05-15,TMIN,-219
AYM00089002,2012-11-12,TMAX,-52
AYM00089504,2012-07-02,TMIN,-150
AYM00089022,2013-11-03,TMAX,-118
AYM00089002,2007-08-02,TMAX,-206
AYM00089022,2014-06-30,TMIN,-385
AYM00089004,2015-08-07,TMIN,-261
AYM00089002,2011-07-04,TMAX,-280
AYM00089504,2010-02-22,TMAX,-118
AYM00089002,2007-11-25,TMAX,-37
AYM00089004,2006-05-24,TMAX,-131
AYM00089002,2007-11-25,TMIN,-90
AYM00089004,2006-05-24,TMIN,-217
AYM00089504,2014-03-07,TMAX,-133
AYM00089002,2006-01-17,TMAX,-8
AYM00089022,2014-06-30,TMAX,-319
AYM00089004,2015-08-07,TMAX,-139
AYM00089504,2012-12-24,TMIN,-47
AYM00089004,2011-06-05,TMAX,-191
AYM00089504,2012-12-24,TMAX,1
AYM00089004,2009-02-02,TMAX,-52
AYM00089004,2008-10-07,TMAX,-170
AYM00089504,2012-02-03,TMIN,-120
AYM00089002,2012-07-22,TMAX,-242
AYM00089022,2009-07-11,TMAX,-120
AYM00089004,2010-01-20,TMIN,-87
AYM00089002,2010-03-05,TMAX,-50
AYM00089004,2015-10-21,TMIN,-173
AYM00089002,2010-03-05,TMIN,-177
AYM00089504,2010-03-07,TMAX,-135
AYM00089504,2012-12-02,TMAX,-49
AYM00089004,2011-07-01,TMIN,-192
AYM00089002,2012-07-22,TMIN,-360
AYM00089022,2013-05-15,TMIN,-335
AYM00089504,2012-11-19,TMAX,-51
AYM00089504,2012-02-03,TMAX,-56
AYM00089004,2010-09-01,TMAX,-175
AYM00089004,2010-09-01,TMIN,-289
AYM00089002,2008-07-21,TMIN,-303
AYM00089002,2008-02-23,TMIN,-63
AYM00089002,2008-12-21,TMIN,-124
AYM00089004,2008-10-07,TMIN,-240
AYM00089002,2008-02-23,TMAX,-24
AYM00089504,2010-02-22,TMIN,-191
AYM00089504,2014-01-15,TMAX,8
AYM00089022,2008-06-09,TMAX,-157
AYM00089002,2014-03-11,TMIN,-182
AYM00089004,2011-06-25,TMIN,-211
AYM00089002,2014-02-05,TMIN,-141
AYM00089504,2012-12-02,TMIN,-124
AYM00089002,2010-04-18,TMAX,-39
AYM00089002,2006-12-17,TMIN,-49
AYM00089004,2013-07-29,TMAX,-217
AYM00089002,2007-05-29,TMIN,-91
AYM00089504,2011-07-05,TMIN,-333
AYM00089504,2010-12-12,TMAX,-46
AYM00089002,2007-05-29,TMAX,-74
AYM00089004,2011-02-12,TMAX,-69
AYM00089504,2012-07-15,TMAX,-203
AYM00089002,2014-07-26,TMIN,-349
AYM00089504,2013-07-05,TMIN,-268
AYM00089004,2005-01-20,TMAX,1
AYM00089002,2014-07-26,TMAX,-247
AYM00089022,2013-05-15,TMAX,-222
AYM00089004,2010-01-20,TMAX,25
AYM00089004,2005-01-20,TMIN,-64
AYM00089004,2013-07-29,TMIN,-262
AYM00089004,2010-01-30,TMAX,-18
AYM00089002,2011-08-23,TMIN,-394
AYM00089504,2011-07-05,TMAX,-277
AYM00089004,2008-07-07,TMAX,-162
AYM00089004,2011-02-22,TMIN,-157
AYM00089002,2008-11-07,TMAX,-70
AYM00089004,2015-11-30,TMIN,-165
AYM00089002,2011-07-04,TMIN,-400
AYM00089004,2009-02-02,TMIN,-110
AYM00089504,2014-01-15,TMIN,-56
AYM00089504,2010-12-12,TMIN,-106
AYM00089002,2010-09-02,TMAX,-141
AYM00089004,2010-01-30,TMIN,-117
AYM00089002,2014-03-11,TMAX,-99
AYM00089004,2008-04-25,TMAX,-78
AYM00089002,2011-02-25,TMIN,-115
AYM00089022,2011-06-25,TMIN,-422
AYM00089002,2008-02-25,TMIN,-106
AYM00089002,2013-07-12,TMAX,-204
AYM00089022,2005-08-02,TMIN,-411
AYM00089002,2011-11-18,TMAX,-59
AYM00089002,2005-06-19,TMIN,-245
AYM00089504,2009-11-18,TMAX,-99
AYM00089022,2011-04-19,TMAX,-205
AYM00089002,2011-11-18,TMIN,-140
AYM00089004,2005-01-03,TMIN,-70
AYM00089504,2009-11-18,TMIN,-182
AYM00089002,2009-11-07,TMIN,-121
AYM00089004,2015-02-02,TMIN,-132
AYM00089004,2012-08-18,TMIN,-231
AYM00089004,2012-08-18,TMAX,-140
AYM00089022,2011-03-10,TMAX,-64
AYM00089002,2009-10-12,TMIN,-176
AYM00089002,2013-07-12,TMIN,-293
AYM00089022,2012-01-06,TMAX,-28
AYM00089004,2013-11-03,TMAX,-128
AYM00089004,2011-07-25,TMIN,-195
AYM00089004,2013-10-24,TMAX,-155
AYM00089004,2014-02-23,TMIN,-157
AYM00089004,2015-01-06,TMIN,-112
AYM00089002,2012-01-12,TMAX,-32
AYM00089504,2011-03-16,TMAX,-86
AYM00089002,2008-09-30,TMAX,-275
AYM00089022,2012-08-18,TMAX,-339
AYM00089002,2011-09-04,TMIN,-409
AYM00089004,2012-10-30,TMAX,-111
AYM00089504,2011-03-16,TMIN,-209
AYM00089002,2009-01-04,TMAX,-4
AYM00089004,2012-10-30,TMIN,-164
AYM00089002,2009-01-04,TMIN,-31
AYM00089504,2010-11-15,TMAX,-139
AYM00089002,2008-09-08,TMIN,-346
AYM00089022,2008-04-28,TMAX,-177
AYM00089002,2008-09-08,TMAX,-213
AYM00089002,2012-01-12,TMIN,-77
AYM00089004,2005-01-03,TMAX,1
AYM00089002,2008-09-30,TMIN,-371
AYM00089004,2015-02-02,TMAX,-60
AYM00089002,2009-11-07,TMAX,-85
AYM00089004,2010-09-17,TMAX,-56
AYM00089002,2006-07-01,TMIN,-263
AYM00089004,2015-03-26,TMIN,-234
AYM00089504,2012-09-11,TMAX,-186
AYM00089504,2009-10-30,TMAX,-111
AYM00089504,2012-09-11,TMIN,-208
AYM00089004,2010-09-17,TMIN,-153
AYM00089004,2012-08-23,TMIN,-214
AYM00089002,2006-07-16,TMIN,-243
AYM00089002,2005-12-27,TMIN,-58
AYM00089022,2011-02-22,TMIN,-175
AYM00089504,2014-10-28,TMIN,-200
AYM00089004,2008-01-01,TMAX,-18
AYM00089022,2012-02-11,TMIN,-74
AYM00089004,2008-05-22,TMAX,-206
AYM00089004,2008-01-01,TMIN,-87
AYM00089022,2005-09-21,TMIN,-392
AYM00089004,2005-07-28,TMAX,-186
AYM00089002,2007-11-19,TMIN,-105
AYM00089022,2009-03-16,TMIN,-177
AYM00089002,2015-05-31,TMIN,-255
AYM00089002,2010-08-21,TMIN,-343
AYM00089004,2014-02-23,TMAX,-74
AYM00089504,2014-09-24,TMIN,-297
AYM00089002,2011-02-04,TMIN,-42
AYM00089504,2015-04-15,TMAX,-132
AYM00089504,2013-11-26,TMIN,-136
AYM00089504,2014-09-24,TMAX,-244
AYM00089002,2010-08-21,TMAX,-164
AYM00089004,2012-08-23,TMAX,-182
AYM00089004,2013-12-03,TMIN,-127
AYM00089504,2009-10-30,TMIN,-203
AYM00089002,2011-02-04,TMAX,-13
AYM00089004,2013-11-03,TMIN,-164
AYM00089002,2005-01-05,TMIN,-76
AYM00089022,2008-02-01,TMAX,-27
AYM00089022,2012-09-28,TMIN,-220
AYM00089504,2013-11-26,TMAX,-40
AYM00089004,2009-02-10,TMIN,-141
AYM00089004,2009-02-10,TMAX,-52
AYM00089022,2009-03-16,TMAX,-64
AYM00089004,2006-07-27,TMIN,-298
AYM00089002,2011-04-02,TMIN,-333
AYM00089004,2015-01-06,TMAX,-68
AYM00089004,2015-06-20,TMIN,-229
AYM00089004,2009-12-24,TMIN,-109
AYM00089004,2007-05-13,TMIN,-264
AYM00089504,2011-03-31,TMAX,-168
AYM00089004,2015-04-16,TMAX,-146
AYM00089004,2006-09-22,TMIN,-198
AYM00089022,2008-10-07,TMAX,-163
AYM00089504,2005-09-30,TMIN,-340
AYM00089002,2005-09-27,TMAX,-224
AYM00089022,2005-11-04,TMAX,-164
AYM00089022,2005-11-04,TMIN,-201
AYM00089002,2015-02-03,TMAX,-49
AYM00089004,2006-09-22,TMAX,-162
AYM00089504,2005-09-30,TMAX,-240
AYM00089504,2006-01-28,TMAX,-60
AYM00089002,2013-04-29,TMIN,-276
AYM00089004,2008-06-09,TMIN,-252
AYM00089504,2012-10-09,TMAX,-156
AYM00089002,2015-02-03,TMIN,-93
AYM00089022,2006-09-22,TMAX,-141
AYM00089004,2015-10-11,TMAX,-163
AYM00089002,2015-08-10,TMAX,-189
AYM00089504,2012-10-09,TMIN,-266
AYM00089002,2011-02-25,TMAX,-61
AYM00089022,2007-10-13,TMAX,-159
AYM00089002,2015-09-29,TMAX,-53
AYM00089022,2007-10-13,TMIN,-296
AYM00089022,2011-09-10,TMIN,-362
AYM00089002,2015-09-29,TMIN,-211
AYM00089002,2014-08-27,TMIN,-116
AYM00089002,2015-04-17,TMIN,-197
AYM00089004,2011-12-12,TMAX,-62
AYM00089004,2011-12-12,TMIN,-154
AYM00089004,2015-10-11,TMIN,-251
AYM00089002,2015-08-10,TMIN,-219
AYM00089004,2007-05-13,TMAX,-173
AYM00089004,2008-06-09,TMAX,-217
AYM00089002,2011-09-16,TMAX,-215
AYM00089022,2012-01-06,TMIN,-129
AYM00089004,2012-01-11,TMIN,-110
