ID,Date,Element,Data_Value
FP000091954,2010-08-01,TMAX,259
FPM00091945,2008-09-01,TMAX,274
FP000091938,2007-01-16,TMAX,279
FP000091954,2008-06-07,TMIN,228
FPM00091945,2005-02-12,TMIN,249
CWM00091843,2015-05-30,TMIN,226
FPM00091945,2011-07-21,TMIN,236
FPM00091945,2013-09-20,TMAX,264
FP000091954,2006-12-31,TMAX,280
FP000091938,2009-07-23,TMAX,302
CWM00091843,2009-05-12,TMIN,243
FP000091938,2005-11-05,TMAX,339
FP000091954,2015-10-30,TMIN,208
FP000091954,2006-12-31,TMIN,238
FP000091954,2009-09-09,TMIN,197
CWM00091843,2010-01-24,TMIN,234
CWM00091843,2012-12-27,TMIN,236
FP000091938,2008-03-29,TMAX,312
FPM00091945,2009-01-06,TMAX,288
FP000091954,2009-07-28,TMIN,217
FP000091954,2013-06-07,TMIN,195
FP000091954,2013-04-21,TMIN,226
CWM00091843,2010-12-08,TMAX,292
CWM00091843,2012-12-11,TMAX,301
FP000091954,2009-08-16,TMIN,176
FP000091954,2011-04-12,TMIN,221
FP000091954,2009-07-19,TMAX,230
FPM00091945,2015-01-08,TMIN,235
FP000091938,2012-07-08,TMIN,229
FP000091954,2009-08-30,TMAX,239
FP000091938,2005-01-11,TMAX,325
FP000091938,2009-04-06,TMIN,257
FP000091938,2015-04-14,TMAX,314
FPM00091945,2006-03-11,TMAX,307
FP000091938,2015-01-19,TMAX,305
CWM00091843,2006-10-22,TMAX,234
FP000091954,2013-04-21,TMAX,272
FP000091954,2009-09-09,TMAX,241
CWM00091843,2015-01-18,TMIN,231
CWM00091843,2010-12-08,TMIN,242
FP000091954,2009-08-16,TMAX,223
FPM00091945,2011-07-21,TMAX,268
CWM00091843,2011-12-27,TMIN,225
FP000091938,2008-08-14,TMAX,283
CWM00091843,2011-06-13,TMIN,226
FP000091938,2014-07-24,TMIN,207
FP000091938,2014-01-26,TMIN,234
FP000091938,2006-02-25,TMAX,325
FP000091938,2006-02-25,TMIN,240
FPM00091945,2012-04-19,TMIN,236
FPM00091945,2011-07-08,TMAX,273
FP000091954,2006-03-25,TMAX,296
FP000091954,2008-06-09,TMAX,258
CWM00091843,2009-01-20,TMAX,314
CWM00091843,2005-07-14,TMIN,200
FPM00091945,2008-12-11,TMIN,229
CWM00091843,2005-09-26,TMAX,277
FP000091954,2008-08-18,TMIN,191
FPM00091945,2009-04-03,TMIN,261
CWM00091843,2005-07-14,TMAX,273
CWM00091843,2012-12-07,TMIN,239
FP000091954,2015-02-17,TMIN,218
FP000091938,2006-04-04,TMAX,320
CWM00091843,2012-12-07,TMAX,302
CWM00091843,2005-09-26,TMIN,220
CWM00091843,2014-01-11,TMIN,224
FPM00091945,2005-05-22,TMAX,271
FP000091954,2011-06-26,TMAX,254
FP000091954,2014-05-13,TMIN,216
FP000091954,2010-08-01,TMIN,212
FP000091938,2010-09-12,TMAX,293
FPM00091945,2012-04-19,TMAX,303
FP000091954,2014-05-18,TMIN,222
FP000091938,2007-01-16,TMIN,248
FP000091954,2015-12-08,TMIN,197
FP000091938,2014-11-11,TMAX,300
FPM00091945,2015-09-19,TMAX,272
FPM00091945,2005-05-22,TMIN,203
FP000091954,2014-12-28,TMAX,269
FP000091938,2006-11-24,TMIN,212
FP000091954,2012-03-07,TMIN,232
CWM00091843,2006-10-22,TMIN,197
FPM00091945,2014-05-23,TMAX,288
FP000091954,2012-01-09,TMAX,259
FP000091938,2005-03-24,TMAX,322
FP000091938,2007-12-02,TMAX,306
FP000091938,2008-12-13,TMAX,300
FP000091938,2008-12-13,TMIN,230
FP000091954,2006-06-14,TMIN,223
FP000091938,2005-03-24,TMIN,256
FPM00091945,2015-08-11,TMIN,198
CWM00091843,2013-07-15,TMIN,223
FP000091938,2012-07-25,TMIN,197
FP000091954,2009-08-30,TMIN,168
FP000091938,2006-08-03,TMAX,301
FP000091954,2006-08-08,TMAX,215
FPM00091945,2008-10-08,TMIN,219
FP000091954,2015-12-08,TMAX,263
CWM00091843,2014-11-20,TMIN,204
CWM00091843,2005-10-27,TMAX,283
FPM00091945,2011-12-05,TMIN,248
FPM00091945,2015-09-19,TMIN,215
FP000091954,2013-07-10,TMIN,163
CWM00091843,2011-01-08,TMAX,295
CWM00091843,2011-09-18,TMIN,207
FPM00091945,2009-04-03,TMAX,308
FP000091954,2013-06-07,TMAX,261
FP000091954,2006-08-08,TMIN,171
FP000091938,2013-04-15,TMIN,240
