ID,Date,Element,Data_Value
BR038837530,2007-07-15,TMIN,186
BR000352000,2014-10-26,TMAX,342
BR000956000,2012-08-02,TMIN,178
BRM00082193,2006-04-11,TMAX,310
BR000956000,2012-01-23,TMIN,216
BRM00082361,2008-07-31,TMAX,353
BR000082861,2012-09-09,TMIN,210
BR038837530,2010-01-01,TMIN,218
BR000352000,2011-10-28,TMAX,366
BR000352000,2013-10-01,TMAX,344
BR000082861,2007-08-05,TMIN,205
BRM00082193,2013-09-23,TMIN,236
BRM00082361,2008-11-01,TMAX,360
BR000082861,2011-04-03,TMIN,245
BRM00083344,2014-01-26,TMIN,148
BR057324290,2013-09-18,TMIN,228
BLM00085210,2007-03-28,TMIN,234
BRM00083344,2013-06-23,TMIN,138
BR000352000,2009-03-06,TMIN,234
BRM00082361,2015-12-10,TMIN,206
BR038837530,2014-09-29,TMIN,220
BRM00082098,2006-07-16,TMIN,232
BRM00082361,2007-07-08,TMAX,343
BR037041370,2009-05-27,TMIN,248
BR000082861,2009-04-21,TMAX,320
BR000956000,2006-08-11,TMIN,199
BR000352000,2009-03-06,TMAX,316
BR000352000,2007-07-23,TMIN,220
BR000956000,2007-11-13,TMIN,220
BRM00082193,2010-05-18,TMIN,257
BRM00082193,2011-12-08,TMAX,315
BRM00082361,2011-11-21,TMAX,340
BRM00082098,2015-09-29,TMIN,255
BRM00082193,2005-04-12,TMAX,326
BR000082861,2007-08-05,TMAX,373
BR000082861,2008-08-30,TMAX,393
BR047635180,2013-12-25,TMIN,216
BRM00083344,2013-06-02,TMIN,160
BRM00082193,2008-05-22,TMAX,303
BR000352000,2015-02-20,TMAX,312
BR000047002,2006-07-18,TMIN,260
BR000352000,2012-05-08,TMAX,340
BR037041370,2008-01-01,TMAX,365
BR000352000,2011-03-23,TMAX,326
BR000956000,2007-06-29,TMIN,185
BR000047002,2006-07-15,TMIN,250
BR000082861,2015-12-21,TMIN,217
BRM00082193,2005-10-28,TMIN,237
BR000352000,2007-07-21,TMAX,354
BR038837530,2011-05-29,TMIN,210
BR000082861,2011-01-02,TMIN,213
BR038837530,2013-07-15,TMIN,206
BR000352000,2012-05-08,TMIN,234
BR037041370,2006-05-31,TMAX,324
BR000082861,2011-01-02,TMAX,306
BR000956000,2009-03-05,TMIN,210
BR000082861,2013-02-13,TMAX,345
BRM00082361,2014-04-21,TMIN,225
BRM00082098,2015-09-08,TMIN,235
BR037041370,2013-02-07,TMIN,246
BRM00082193,2010-12-24,TMAX,300
BRM00082361,2008-09-15,TMAX,362
BRM00082361,2008-11-20,TMAX,351
BR000352000,2008-06-16,TMIN,226
BR037041370,2007-11-02,TMAX,394
BR038837530,2011-06-16,TMIN,204
BR037041370,2010-10-01,TMIN,258
BR000956000,2015-08-31,TMIN,217
BR000082861,2015-10-26,TMIN,243
BRM00082361,2009-12-03,TMAX,360
BRM00082193,2009-05-07,TMAX,306
BR000352000,2011-08-08,TMAX,356
BR000352000,2012-02-15,TMAX,314
BRM00082193,2015-03-24,TMAX,291
BR000352000,2012-04-09,TMIN,224
BR000956000,2015-10-04,TMIN,241
BR037041370,2007-11-02,TMIN,260
BR000956000,2006-11-21,TMIN,212
BRM00082193,2008-10-16,TMAX,338
BRM00082562,2005-05-12,TMAX,355
BR000352000,2011-03-23,TMIN,214
BRM00082098,2013-10-13,TMIN,235
BR000956000,2006-01-19,TMIN,210
BRM00082361,2009-06-16,TMAX,333
BRM00082193,2006-09-30,TMIN,245
BR038837530,2009-06-30,TMIN,207
BR038837530,2011-05-27,TMIN,214
BR000956000,2007-10-23,TMAX,337
BR000352000,2008-04-28,TMAX,318
BR037041370,2007-03-14,TMAX,316
BRM00082193,2011-12-25,TMIN,238
BRM00082361,2008-03-28,TMAX,296
BRM00082193,2010-01-24,TMAX,315
BR037041370,2015-11-22,TMIN,249
BLM00085210,2005-10-07,TMAX,370
BR000956000,2011-06-01,TMAX,320
BR000956000,2007-11-28,TMIN,219
BR037041370,2013-10-02,TMIN,249
BLM00085210,2005-10-07,TMIN,203
BRM00082193,2008-01-01,TMAX,300
BRM00082193,2009-05-17,TMIN,238
BRM00082193,2005-04-12,TMIN,239
BR000956000,2008-03-15,TMAX,289
BRM00082193,2007-05-09,TMAX,321
BR000352000,2013-03-12,TMIN,234
BRM00082361,2011-07-07,TMAX,326
BRM00082193,2011-12-25,TMAX,324
BRM00082361,2012-06-30,TMAX,335
BRM00083344,2015-12-15,TMIN,146
BR037041370,2011-02-17,TMIN,240
BR000352000,2013-03-12,TMAX,332
BR000352000,2010-01-21,TMAX,342
BRM00082361,2011-07-07,TMIN,222
BRM00082193,2010-12-24,TMIN,248
BR000956000,2008-03-15,TMIN,210
BR000956000,2009-05-12,TMIN,220
BR037041370,2010-03-19,TMAX,354
BR000352000,2014-06-16,TMAX,316
BRM00082193,2012-12-15,TMAX,325
BRM00082193,2008-05-22,TMIN,245
BR047635180,2015-08-13,TMIN,180
BR000956000,2015-08-06,TMIN,167
BR000352000,2007-11-14,TMAX,358
BR000047002,2005-02-11,TMAX,310
BR000352000,2008-04-28,TMIN,240
BRM00082193,2010-03-04,TMAX,338
BR000956000,2011-06-01,TMIN,182
BRM00082562,2013-09-28,TMIN,228
BR037041370,2005-05-26,TMIN,238
BR000352000,2009-09-07,TMAX,372
BR038837530,2007-09-22,TMIN,202
BR038837530,2012-08-16,TMIN,206
BR038837530,2010-07-26,TMIN,182
BRM00082361,2009-10-12,TMAX,373
BLM00085210,2006-05-24,TMAX,258
BR000956000,2012-08-02,TMAX,338
BLM00085210,2006-05-24,TMIN,138
BRM00082193,2009-05-17,TMAX,302
BRM00082193,2012-02-26,TMAX,289
BRM00082361,2012-07-10,TMAX,332
BR037041370,2013-03-02,TMIN,258
BR037041370,2005-06-16,TMIN,242
BRM00082361,2012-04-04,TMAX,331
BRM00082361,2009-12-17,TMAX,330
BR037041370,2009-10-05,TMAX,382
BR000352000,2010-04-07,TMIN,234
BRM00082361,2012-04-13,TMIN,239
BR037041370,2007-10-09,TMIN,258
BR000956000,2008-02-29,TMAX,305
BRM00082098,2005-12-31,TMIN,244
BR000352000,2011-08-24,TMAX,354
BR000352000,2015-01-23,TMAX,320
BRM00082361,2008-09-04,TMAX,328
BR000082861,2012-01-18,TMAX,314
BR000352000,2013-06-29,TMAX,318
BR000956000,2010-07-26,TMIN,180
BRM00082193,2010-10-15,TMAX,327
BR038837530,2009-04-20,TMIN,233
BRM00082193,2010-01-27,TMAX,297
BR000352000,2009-03-01,TMAX,318
BR037041370,2012-11-11,TMIN,267
BR038837530,2010-06-02,TMAX,336
BR000352000,2007-07-25,TMAX,364
BR000352000,2011-01-04,TMAX,328
BR000352000,2010-04-07,TMAX,334
BR037041370,2011-03-10,TMIN,250
BR000082861,2008-01-30,TMIN,228
BR037041370,2007-05-30,TMAX,342
BR037041370,2007-08-04,TMIN,226
BR000352000,2009-01-15,TMAX,308
BR000352000,2008-11-03,TMAX,364
BR000082861,2007-09-08,TMIN,225
BRM00082361,2008-12-11,TMAX,338
BR038837530,2007-06-30,TMIN,199
BR000352000,2007-12-17,TMAX,340
BR037041370,2008-10-24,TMIN,237
BR000352000,2008-08-12,TMAX,358
BRM00082361,2007-12-09,TMAX,329
BRM00082098,2006-04-12,TMIN,237
BR000956000,2015-02-04,TMIN,236
BR000352000,2008-01-05,TMAX,322
BR000082861,2010-06-24,TMAX,363
BR037041370,2008-10-24,TMAX,393
BR000352000,2007-11-14,TMIN,248
BR000956000,2009-05-29,TMAX,315
BR000352000,2014-09-01,TMAX,332
BR038837530,2010-02-03,TMIN,236
BRM00082098,2014-05-11,TMIN,233
BRM00083344,2013-05-11,TMIN,134
BR000352000,2012-02-03,TMIN,212
BR000956000,2006-10-24,TMIN,209
BRM00082098,2006-04-12,TMAX,290
BRM00082098,2006-08-11,TMIN,228
BRM00082193,2014-07-04,TMIN,238
BRM00082361,2012-04-04,TMIN,240
BR000047002,2006-07-15,TMAX,320
BR000956000,2009-07-08,TMIN,188
BR000082861,2011-03-26,TMAX,351
BRM00082361,2010-07-26,TMIN,223
BR038837530,2014-12-06,TMAX,358
BRM00082361,2011-03-22,TMAX,324
BR000352000,2011-09-13,TMAX,366
BR000082861,2007-09-08,TMAX,382
BLM00085210,2006-10-24,TMAX,343
BR000956000,2013-11-29,TMIN,232
BR000956000,2008-05-23,TMIN,160
BRM00082361,2010-07-26,TMAX,353
BRM00082361,2010-10-28,TMAX,360
BRM00082098,2006-01-11,TMIN,238
BR000352000,2014-08-14,TMAX,346
BR000082861,2010-10-29,TMIN,237
BLM00085210,2006-10-24,TMIN,240
BLM00085210,2008-04-16,TMAX,240
BRM00083344,2013-05-24,TMIN,160
BRM00082193,2012-06-15,TMAX,320
BR000956000,2006-04-12,TMIN,222
BR000352000,2008-08-01,TMAX,342
BRM00083344,2015-12-25,TMIN,158
BRM00083344,2013-09-17,TMIN,142
BR037041370,2012-06-07,TMAX,356
BR000082861,2010-10-29,TMAX,343
BR057324290,2015-12-01,TMIN,236
BR000956000,2009-02-08,TMAX,327
BR000082861,2011-06-17,TMIN,209
BR000352000,2015-07-16,TMAX,344
BR037041370,2013-12-31,TMIN,250
BRM00083344,2013-08-13,TMIN,142
BLM00085210,2008-04-16,TMIN,150
BR000082861,2013-09-04,TMIN,228
BR037041370,2011-03-10,TMAX,333
BRM00082361,2008-12-07,TMAX,344
BRM00082098,2006-01-11,TMAX,310
BRM00082193,2009-01-07,TMAX,320
BRM00082193,2014-07-04,TMAX,315
BR000956000,2008-08-22,TMIN,197
BR038837530,2013-04-20,TMIN,226
BRM00082193,2013-09-14,TMIN,238
BR000352000,2008-07-31,TMAX,350
BR000352000,2007-06-29,TMAX,354
BRM00082193,2012-01-16,TMAX,318
BR000956000,2008-05-23,TMAX,324
BR037041370,2009-10-05,TMIN,257
BRM00082562,2015-08-24,TMIN,246
BRM00082193,2005-10-02,TMIN,246
BR037041370,2011-01-06,TMIN,238
BR000956000,2008-02-28,TMAX,319
BR000352000,2007-06-29,TMIN,226
BR037041370,2006-04-02,TMIN,225
BR038837530,2012-02-08,TMIN,220
BR038837530,2008-03-15,TMAX,362
BR000956000,2007-05-04,TMIN,211
BRM00082098,2013-08-27,TMIN,245
BRM00082361,2009-07-04,TMAX,344
BRM00082193,2013-09-17,TMIN,237
BR038837530,2010-09-04,TMIN,198
BRM00082361,2009-11-27,TMAX,347
BR057324290,2013-06-02,TMIN,169
BR000956000,2013-10-18,TMIN,228
BR000352000,2008-08-05,TMAX,350
BR000956000,2012-08-16,TMIN,191
BRM00083344,2014-05-19,TMIN,152
BR000956000,2015-03-18,TMIN,237
BR038837530,2007-12-23,TMIN,232
BR000956000,2011-07-07,TMIN,185
BR037041370,2011-09-13,TMIN,250
BR037041370,2011-09-13,TMAX,377
BR000352000,2014-01-04,TMAX,336
BRM00082193,2011-04-11,TMAX,302
BR038837530,2013-05-31,TMIN,222
BR038837530,2014-12-30,TMIN,222
BLM00085210,2006-03-30,TMIN,225
BR000956000,2006-06-13,TMIN,148
BRM00082193,2005-02-26,TMIN,250
BR000956000,2011-10-22,TMAX,311
BR000352000,2008-05-03,TMAX,318
BR000956000,2011-02-18,TMIN,217
BR000956000,2011-01-07,TMIN,213
BRM00082361,2010-08-02,TMAX,372
BR000352000,2008-07-29,TMAX,340
BLM00085210,2006-11-01,TMIN,250
BR038837530,2011-01-03,TMIN,241
BR037041370,2008-07-07,TMIN,250
BR000352000,2013-01-16,TMIN,224
BR000956000,2007-11-08,TMIN,210
BR000352000,2008-01-05,TMIN,228
BR000956000,2015-06-16,TMAX,384
BR000956000,2009-12-29,TMAX,305
BRM00082193,2006-04-11,TMIN,246
BR000352000,2009-03-24,TMIN,224
BLM00085210,2007-03-28,TMAX,358
BR000352000,2009-03-24,TMAX,322
BR038837530,2007-09-21,TMIN,200
BR000956000,2011-08-12,TMIN,179
BR000082861,2007-11-01,TMIN,221
BR000956000,2010-10-04,TMIN,227
BR000352000,2010-04-05,TMIN,230
BR000047002,2006-06-02,TMAX,310
BRM00082098,2015-10-04,TMIN,245
BRM00082361,2010-05-16,TMAX,352
BR000956000,2006-07-01,TMIN,195
BRM00082193,2006-02-15,TMIN,230
BRM00082193,2010-03-06,TMIN,256
BLM00085210,2006-03-30,TMAX,320
BLM00085210,2006-11-01,TMAX,340
BR000352000,2014-04-03,TMAX,306
BR000082861,2008-10-10,TMAX,373
BR000082861,2008-10-10,TMIN,239
BR037041370,2012-10-19,TMAX,408
