ID,Date,Element,Data_Value
BLM00085196,2006-05-11,TMIN,85
BRM00083208,2011-01-20,TMAX,300
BLM00085175,2008-06-17,TMAX,275
BLM00085244,2013-12-16,TMAX,324
BLM00085207,2013-08-27,TMAX,240
BLM00085268,2005-12-22,TMAX,322
BLM00085247,2008-04-10,TMAX,356
BLM00085196,2014-08-30,TMAX,340
BLM00085244,2008-11-24,TMAX,361
BLM00085244,2015-06-04,TMAX,312
BLM00085210,2006-04-02,TMIN,221
BLM00085175,2008-10-28,TMIN,217
BLM00085207,2008-10-03,TMIN,203
BLM00085268,2008-08-07,TMAX,373
BLM00085245,2007-07-03,TMIN,180
BLM00085268,2011-03-23,TMAX,350
BR000956000,2007-01-13,TMIN,222
BLM00085244,2011-02-18,TMAX,352
BLM00085245,2007-12-12,TMAX,300
BLM00085175,2005-05-09,TMAX,262
BLM00085207,2010-02-27,TMAX,277
BLM00085244,2008-05-13,TMIN,158
BLM00085196,2014-02-13,TMAX,278
BLM00085264,2008-02-06,TMIN,113
BLM00085196,2012-09-09,TMAX,330
BR000956000,2008-03-01,TMIN,210
BLM00085210,2005-07-12,TMIN,107
BLM00085175,2006-01-07,TMAX,303
BLM00085247,2008-07-15,TMIN,146
BLM00085207,2008-10-03,TMAX,254
BLM00085207,2006-12-26,TMIN,215
BLM00085207,2005-10-11,TMIN,188
BLM00085196,2009-05-22,TMAX,307
BLM00085268,2011-06-09,TMAX,260
BLM00085245,2009-12-05,TMAX,330
BRM00083208,2010-12-24,TMIN,203
BRM00082562,2005-02-05,TMAX,332
BLM00085244,2010-03-06,TMAX,355
BLM00085247,2009-02-10,TMAX,322
BRM00083208,2007-02-12,TMIN,207
BLM00085175,2006-01-07,TMIN,227
BRM00083208,2009-06-30,TMAX,311
BRM00083208,2014-10-21,TMIN,205
BLM00085244,2008-11-24,TMIN,230
BLM00085245,2009-10-12,TMAX,260
BLM00085196,2009-02-11,TMAX,310
BRM00082562,2014-01-08,TMIN,226
BLM00085175,2009-01-21,TMIN,198
BR000082861,2012-02-20,TMIN,231
BRM00082562,2013-05-26,TMIN,227
BR000956000,2014-10-02,TMIN,239
BLM00085247,2007-09-19,TMIN,240
BLM00085244,2005-04-30,TMAX,264
BLM00085244,2008-01-23,TMAX,246
BLM00085247,2007-02-07,TMAX,313
BLM00085196,2007-05-28,TMIN,150
BLM00085175,2005-09-19,TMAX,326
BLM00085207,2010-05-04,TMAX,275
BR000956000,2012-03-08,TMIN,220
BLM00085207,2006-10-16,TMAX,260
BLM00085175,2005-09-19,TMIN,140
BLM00085247,2011-02-19,TMAX,290
BR000956000,2010-01-12,TMAX,310
BLM00085247,2012-05-01,TMAX,274
BLM00085196,2015-07-19,TMAX,290
BLM00085207,2014-06-08,TMAX,298
BR000956000,2006-03-09,TMIN,227
BLM00085244,2008-04-26,TMIN,220
BLM00085175,2005-01-26,TMIN,217
BLM00085244,2010-02-06,TMAX,315
BRM00083208,2011-04-04,TMIN,209
BLM00085207,2008-10-27,TMIN,225
BLM00085264,2006-03-09,TMAX,262
BR000956000,2008-02-04,TMIN,210
BLM00085268,2010-09-15,TMAX,334
BLM00085268,2012-08-20,TMAX,345
BR000082861,2012-01-04,TMAX,278
BR000956000,2007-10-13,TMIN,215
BRM00083208,2009-08-10,TMAX,329
BRM00083208,2009-03-24,TMIN,208
BLM00085247,2009-05-29,TMAX,165
BR000082861,2007-07-20,TMAX,367
BLM00085244,2010-01-07,TMAX,330
BLM00085268,2014-08-20,TMAX,350
BLM00085244,2008-07-22,TMIN,218
