id,account_id,occurred_at,standard_qty,gloss_qty,poster_qty,total,standard_amt_usd,gloss_amt_usd,poster_amt_usd,total_amt_usd
1.0,1001.0,2015-10-06 17:31:14,123.0,22.0,24.0,169.0,613.77,164.78,194.88,973.43
2.0,1001.0,2015-11-05 03:34:33,190.0,41.0,57.0,288.0,948.1,307.09,462.84,1718.03
3.0,1001.0,2015-12-04 04:21:55,85.0,47.0,0.0,132.0,424.15,352.03,0.0,776.18
4.0,1001.0,2016-01-02 01:18:24,144.0,32.0,0.0,176.0,718.56,239.68,0.0,958.24
5.0,1001.0,2016-02-01 19:27:27,108.0,29.0,28.0,165.0,538.92,217.21,227.36,983.49
6.0,1001.0,2016-03-02 15:29:32,103.0,24.0,46.0,173.0,513.97,179.76,373.52,1067.25
7.0,1001.0,2016-04-01 11:20:18,101.0,33.0,92.0,226.0,503.99,247.17,747.04,1498.2
8.0,1001.0,2016-05-01 15:55:51,95.0,47.0,151.0,293.0,474.05,352.03,1226.12,2052.2
9.0,1001.0,2016-05-31 21:22:48,91.0,16.0,22.0,129.0,454.09,119.84,178.64,752.57
10.0,1001.0,2016-06-30 12:32:05,94.0,46.0,8.0,148.0,469.06,344.54,64.96,878.56
11.0,1001.0,2016-07-30 03:26:30,101.0,36.0,0.0,137.0,503.99,269.64,0.0,773.63
12.0,1001.0,2016-08-28 07:13:39,124.0,33.0,39.0,196.0,618.76,247.17,316.68,1182.61
13.0,1001.0,2016-09-26 23:28:25,104.0,10.0,44.0,158.0,518.96,74.9,357.28,951.14
14.0,1001.0,2016-10-26 20:31:30,97.0,143.0,54.0,294.0,484.03,1071.07,438.48,1993.58
15.0,1001.0,2016-11-25 23:21:32,127.0,39.0,44.0,210.0,633.73,292.11,357.28,1283.12
16.0,1001.0,2016-12-24 05:53:13,123.0,127.0,19.0,269.0,613.77,951.23,154.28,1719.28
17.0,1011.0,2016-12-21 10:59:34,527.0,14.0,0.0,541.0,2629.73,104.86,0.0,2734.59
18.0,1021.0,2015-10-12 02:21:56,516.0,23.0,0.0,539.0,2574.84,172.27,0.0,2747.11
19.0,1021.0,2015-11-11 07:37:01,497.0,61.0,0.0,558.0,2480.03,456.89,0.0,2936.92
20.0,1021.0,2015-12-11 16:53:18,483.0,0.0,21.0,504.0,2410.17,0.0,170.52,2580.69
21.0,1021.0,2016-01-10 09:29:45,535.0,0.0,34.0,569.0,2669.65,0.0,276.08,2945.73
22.0,1021.0,2016-02-09 00:50:46,502.0,4.0,9.0,515.0,2504.98,29.96,73.08,2608.02
23.0,1021.0,2016-03-10 00:38:52,555.0,19.0,4.0,578.0,2769.45,142.31,32.48,2944.24
24.0,1031.0,2016-12-25 03:54:27,1148.0,0.0,215.0,1363.0,5728.52,0.0,1745.8,7474.32
25.0,1041.0,2016-10-14 23:54:21,298.0,28.0,69.0,395.0,1487.02,209.72,560.28,2257.02
26.0,1041.0,2016-11-13 10:11:52,307.0,22.0,0.0,329.0,1531.93,164.78,0.0,1696.71
27.0,1041.0,2016-12-12 07:50:01,157.0,34.0,21.0,212.0,783.43,254.66,170.52,1208.61
28.0,1051.0,2016-08-02 20:13:27,505.0,84.0,0.0,589.0,2519.95,629.16,0.0,3149.11
29.0,1051.0,2016-09-01 05:38:19,498.0,35.0,9.0,542.0,2485.02,262.15,73.08,2820.25
30.0,1051.0,2016-10-01 00:48:28,486.0,0.0,1.0,487.0,2425.14,0.0,8.12,2433.26
31.0,1051.0,2016-10-31 06:47:30,505.0,71.0,19.0,595.0,2519.95,531.79,154.28,3206.02
32.0,1051.0,2016-11-30 07:31:16,490.0,18.0,0.0,508.0,2445.1,134.82,0.0,2579.92
33.0,1051.0,2016-12-30 08:45:43,495.0,1.0,1.0,497.0,2470.05,7.49,8.12,2485.66
34.0,1061.0,2016-10-19 16:04:11,290.0,52.0,23.0,365.0,1447.1,389.48,186.76,2023.34
35.0,1061.0,2016-11-17 08:43:27,249.0,3.0,17.0,269.0,1242.51,22.47,138.04,1403.02
36.0,1061.0,2016-12-16 21:32:36,290.0,22.0,18.0,330.0,1447.1,164.78,146.16,1758.04
37.0,1071.0,2016-12-13 09:01:03,803.0,31.0,19.0,853.0,4006.97,232.19,154.28,4393.44
38.0,1081.0,2015-02-12 22:57:54,283.0,61.0,23.0,367.0,1412.17,456.89,186.76,2055.82
39.0,1081.0,2015-03-13 09:48:32,309.0,0.0,25.0,334.0,1541.91,0.0,203.0,1744.91
40.0,1081.0,2015-04-12 04:38:22,292.0,30.0,11.0,333.0,1457.08,224.7,89.32,1771.1
41.0,1081.0,2015-05-12 23:20:46,273.0,30.0,19.0,322.0,1362.27,224.7,154.28,1741.25
42.0,1081.0,2015-06-11 13:43:57,291.0,36.0,62.0,389.0,1452.09,269.64,503.44,2225.17
43.0,1081.0,2015-07-11 23:17:32,433.0,18.0,73.0,524.0,2160.67,134.82,592.76,2888.25
44.0,1081.0,2015-08-09 18:29:20,297.0,24.0,9.0,330.0,1482.03,179.76,73.08,1734.87
45.0,1081.0,2015-09-07 15:35:21,293.0,30.0,20.0,343.0,1462.07,224.7,162.4,1849.17
46.0,1081.0,2015-11-06 04:19:20,321.0,38.0,16.0,375.0,1601.79,284.62,129.92,2016.33
47.0,1081.0,2015-12-05 21:51:34,311.0,31.0,7.0,349.0,1551.89,232.19,56.84,1840.92
48.0,1081.0,2016-01-03 23:21:47,314.0,20.0,208.0,542.0,1566.86,149.8,1688.96,3405.62
49.0,1081.0,2016-02-01 20:00:37,298.0,26.0,25.0,349.0,1487.02,194.74,203.0,1884.76
50.0,1081.0,2016-03-02 06:07:31,270.0,40.0,31.0,341.0,1347.3,299.6,251.72,1898.62
51.0,1081.0,2016-04-30 07:46:13,501.0,26.0,15.0,542.0,2499.99,194.74,121.8,2816.53
52.0,1081.0,2016-05-30 04:02:38,273.0,74.0,29.0,376.0,1362.27,554.26,235.48,2152.01
53.0,1081.0,2016-06-28 06:18:20,328.0,25.0,21.0,374.0,1636.72,187.25,170.52,1994.49
54.0,1081.0,2016-07-28 22:48:55,302.0,54.0,19.0,375.0,1506.98,404.46,154.28,2065.72
55.0,1081.0,2016-08-26 16:47:57,272.0,25.0,30.0,327.0,1357.28,187.25,243.6,1788.13
56.0,1081.0,2016-09-24 09:47:30,319.0,45.0,101.0,465.0,1591.81,337.05,820.12,2748.98
57.0,1081.0,2016-10-24 21:46:10,303.0,28.0,0.0,331.0,1511.97,209.72,0.0,1721.69
58.0,1081.0,2016-11-23 04:38:57,334.0,25.0,20.0,379.0,1666.66,187.25,162.4,2016.31
59.0,1081.0,2016-12-23 13:19:56,293.0,29.0,0.0,322.0,1462.07,217.21,0.0,1679.28
60.0,1091.0,2014-08-15 05:38:05,150.0,0.0,19.0,169.0,748.5,0.0,154.28,902.78
61.0,1091.0,2014-09-13 05:11:21,150.0,28.0,16.0,194.0,748.5,209.72,129.92,1088.14
62.0,1091.0,2014-10-13 12:12:55,146.0,196.0,3.0,345.0,728.54,1468.04,24.36,2220.94
63.0,1091.0,2014-11-12 06:54:10,146.0,10.0,17.0,173.0,728.54,74.9,138.04,941.48
64.0,1091.0,2014-12-11 10:36:32,261.0,25.0,13.0,299.0,1302.39,187.25,105.56,1595.2
65.0,1091.0,2015-01-09 14:16:50,148.0,15.0,92.0,255.0,738.52,112.35,747.04,1597.91
66.0,1091.0,2015-02-08 10:01:50,132.0,14.0,10.0,156.0,658.68,104.86,81.2,844.74
67.0,1091.0,2015-04-07 13:29:20,95.0,0.0,0.0,95.0,474.05,0.0,0.0,474.05
68.0,1091.0,2015-06-05 19:18:24,150.0,0.0,11.0,161.0,748.5,0.0,89.32,837.82
